rank ,name ,ELO ,title,federation ,games,birth_year
60,Ray Robson ,2682,GM,United States ,727,1994
61,Pavel Eljanov ,2681,GM,Ukraine ,1740,1983
62,Bassem Amin ,2680,GM,Egypt ,1154,1988
63,Ivan Saric ,2680,GM,Croatia ,1676,1990
64,Chao b Li ,2679,GM,China ,902,1989
65,Jorden Van Foreest ,2678,GM,Netherlands ,1051,1999
66,Zoltan Almasi ,2677,GM,Hungary ,1961,1976
67,Evgeniy Najer ,2676,GM,Russian Federation ,2025,1977
68,Jaime Santos Latasa ,2675,GM,Spain ,557,1996
69,Igor Kovalenko ,2674,GM,Ukraine ,1246,1988
70,Andrei Volokitin ,2674,GM,Ukraine ,1654,1986
71,Matthias Bluebaum ,2673,GM,Germany ,1083,1997
72,Rustam Kasimdzhanov ,2672,GM,Uzbekistan ,1552,1979
73,Yuriy Kryvoruchko ,2672,GM,Ukraine ,1181,1986
74,Haik M Martirosyan ,2672,GM,Armenia ,588,2000
75,Jules Moussard ,2672,GM,France ,848,1995
76,Aryan Tari ,2672,GM,Norway ,967,1999
77,Alexander Areshchenko ,2671,GM,Ukraine ,1341,1986
78,Maxim Matlakov ,2671,GM,Russian Federation ,1729,1991
79,Boris Gelfand ,2668,GM,Israel ,3394,1968
80,Gadir Guseinov ,2668,GM,Azerbaijan ,1191,1986
81,Hua Ni ,2668,GM,China ,1347,1983
82,Alexey Sarana,2668,GM,FIDE ,1020,2000
83,David Anton Guijarro ,2667,GM,Spain ,1247,1995
84,Qun Ma,2666,GM,China ,366,1991
85,Arkadij Naiditsch ,2664,GM,Azerbaijan ,2438,1985
86,M. Amin Tabatabaei,2664,GM,Iran ,606,2001
87,Ernesto Inarkiev ,2661,GM,Russian Federation ,1862,1985
88,Shant Sargsyan ,2661,GM,Armenia ,511,2002
89,Narayanan.S.L,2659,GM,India ,578,1998
90,Sandro Mareco ,2657,GM,Argentina ,953,1987
91,Etienne Bacrot ,2656,GM,France ,2687,1983
92,Rauf Mamedov ,2656,GM,Azerbaijan ,1972,1988
93,Nils Grandelius ,2655,GM,Sweden ,1354,1993
94,Gata Kamsky ,2655,GM,United States ,2146,1974
95,Kirill Shevchenko ,2654,GM,Ukraine ,551,2002
96,Anton Demchenko ,2653,GM,FIDE ,882,1987
97,Gawain C Jones ,2652,GM,United Kingdom ,1541,1987
98,Dariusz Swiercz ,2652,GM,United States ,1131,1994
99,Vladimir Malakhov ,2651,GM,FIDE ,1855,1980
100,Nihal Sarin ,2651,GM,India ,676,2004
101,Yifan Hou ,2650,GM,China ,1519,1994
102,David W L Howell ,2650,GM,United Kingdom ,1638,1990
103,Ferenc Berkes ,2649,GM,Hungary ,1674,1985
104,Luke J McShane ,2649,GM,United Kingdom ,1581,1984
105,Rasmus Svane ,2649,GM,Germany ,1029,1997
106,Dmitrij Kollars ,2648,GM,Germany ,569,1999
107,Praggnanandhaa R ,2648,GM,India ,496,2005
108,Alan Pichot ,2647,GM,Argentina ,662,1998
109,Markus Ragger ,2647,GM,Austria ,1703,1988
110,Jorge Cori ,2645,GM,Peru ,525,1995
111,Ngoc Truong Son Nguyen ,2645,GM,Viet Nam ,971,1990
112,Karen H Grigoryan ,2643,GM,Armenia ,720,1995
113,Yuriy Kuzubov ,2642,GM,Ukraine ,1427,1990
114,Liviu Dieter Nisipeanu ,2642,GM,Germany ,1978,1976
115,Ruslan Ponomariov ,2642,GM,Ukraine ,2106,1983
116,Pouya Idani ,2641,GM,Iran ,584,1995
117,Alexander Donchenko ,2640,GM,Germany ,1242,1998
118,Alexander Onischuk ,2640,GM,United States ,1484,1975
119,Vasif Durarbayli ,2638,GM,Azerbaijan ,605,1992
120,Jan Gustafsson ,2638,GM,Germany ,1458,1979
121,Jon Ludvig Hammer ,2638,GM,Norway ,972,1990
122,Krishnan Sasikiran ,2638,GM,India ,1919,1981
123,Benjamin Gledura ,2637,GM,Hungary ,524,1999
124,Sergei Rublevsky ,2637,GM,Russian Federation ,1731,1974
125,Wojciech Moranda ,2636,GM,Poland ,586,1988
126,Kacper Piorun ,2636,GM,Poland ,1136,1991
127,Aleksandr Rakhmanov ,2635,GM,Russian Federation ,1507,1989
128,Aleksandr Riazantsev ,2635,GM,Russian Federation ,2144,1985
129,Erwin L'Ami ,2634,GM,Netherlands ,961,1985
130,Hrant Melkumyan ,2634,GM,Armenia ,1028,1989
131,Ioannis Papaioannou ,2634,GM,Greece ,677,1976
132,Pavel Ponkratov ,2634,GM,Russian Federation ,1637,1988
133,Mustafa Yilmaz ,2634,GM,Turkey ,926,1992
134,Nijat Abasov ,2633,GM,Azerbaijan ,667,1995
135,Luka Lenic ,2633,GM,Slovenia ,1158,1988
136,Maksim Chigaev ,2632,GM,FIDE ,1145,1996
137,Alexander Motylev ,2632,GM,FIDE ,2006,1979
138,Evgeny Bareev ,2631,GM,Canada ,1885,1966
139,Laurent Fressinet ,2631,GM,France ,2303,1981
140,Maxime Lagarde ,2631,GM,France ,832,1994
141,Tamir Nabaty ,2631,GM,Israel ,617,1991
142,Bartosz Socko ,2630,GM,Poland ,2499,1978
143,Thai Dai Van Nguyen ,2629,GM,Czech Republic ,732,2001
144,Javokhir Sindarov ,2629,GM,Uzbekistan ,389,2005
145,Constantin Lupulescu ,2628,GM,Romania ,1324,1984
146,Abhijeet Gupta ,2627,GM,India ,1204,1989
