album;song;lyrics;year;views
A Girl Like Me;If It’s Lovin’ That You Want, Pt. 2;"[Intro: Rihanna]
Oh-oh, oh
Oh-oh, oh

[Chorus: Rihanna]
Now, it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Then baby, come and share my world, share my world, oh-oh, oh
If it's lovin' that you want
Then come and take a walk with me, with me
'Cause everything that you need, I got it right here baby, baby, oh-oh, oh

[Verse 1: Rihanna]
Now it's obvious you need a friend to come hold you down
Be that one to you share your every fear when no one's around
Baby, come tell me your secrets, and tell me all your dreams
'Cause I can see you need someone to trust
You can trust in me

[Pre-Chorus: Rihanna]
Di-di-di-di-di-da-di-di-di-da-di-day
So just call me whenever you're lonely
Di-di-di-di-di-da-di-di-di-da-di-day
I'll be your friend, I can be your homie


[Chorus: Rihanna]
If it's lovin' that you want
Then you should make me your girl, your girl
If it's lovin' that you need
Then baby, come and share my world, share my world, oh-oh, oh
If it's lovin' that you want
Then come and take a walk with me (A walk with me), with me (Yeah)
'Cause everything that you need, I got it right here baby, baby, oh-oh, oh

[Verse 2: Corey Gunz]
Hold up, lemme get this straight
You saying you’ll be there to do whatever it takes
To make, more brighter days in my life
My troubles would be over if I made you my wife
Right (Right)
I ain't saying I doubt it
Lemme take a second and I think about it (Huh)
Thought about it
I could deal with a chick
So I wouldn’t mind being hand and hand on the strip, let's make it happen baby

[Verse 2: Rihanna]
It's been so long, I've had this feeling
That we could be
Everything you've ever wanted, and your
Your fantasy
I won't push too hard or break your heart
'Cause my love's sincere
I'm not like any other girl you know
So let me erase your fears


[Pre-Chorus: Rihanna]
Di-di-di-di-di-da-di-di-di-da-di-day
So just call me whenever you're lonely
Di-di-di-di-di-da-di-di-di-da-di-day
I'll be your friend, I could be your homie

[Chorus: Rihanna]
If it's lovin' that you want
Then you should make me your girl, your girl
(Make me your girl, oh)
If it's lovin' that you need
Then baby, come and share my world, share my world, oh-oh, oh
(Share my world)
If it's lovin' that you want
Then come and take a walk with me, a walk with me, oh-oh, oh
(A walk with me baby)
'Cause everything that you need, I got it right here baby, baby, oh-oh, oh
(Here baby, oh-oh)

[Verse 4: Corey Gunz]
I can understand why you want me
My mom told me one day I would make a lady lucky
We came up together
You know how chicks do
Try and make a hit miss, when you hit, they miss you (True)
But little lady, you was riding from the get
I don’t know if I wanna handcuff you yet, miss
Mista Gunz, the name
I need a friend ma' 'cause you and me are one and the same (Think)


[Pre-Chorus: Rihanna]
Di-di-di-di-di-da-di-di-di-da-di-day
So just call me whenever you're lonely
Di-di-di-di-di-da-di-di-di-da-di-day
I'll be your friend, I can be your homie

[Chorus: Rihanna]
If it's lovin' that you want
Then you should make me your girl, your girl
(Your girl)
If it's lovin' that you need
Then baby, come and share my world, share my world, oh-oh, oh
If it's lovin' that you want
Then come and take a walk with me, a walk with me
(Come and take a walk with me)
'Cause everything that you need, I got it right here baby, baby, oh-oh, oh

[Outro: Rihanna]
I wanna let you know, that you don't have to go
Don't wonder no more, what I think about you
I got what you need so come share my world
Oh, no-oh, no";2006;0
A Girl Like Me;Who Ya Gonna Run To?;"[Intro]
Whoa, yeah
Oooh

[Verse 1]
Baby, please, you don’t have to explain the reasons
This is me, I know your mind can change like the seasons
Go your way, I know the world is calling your name, boy
It’s okay, 'cause what we got, it ain’t gonna change, boy

[Pre-Chorus]
As long as we’ve been together
You’ve always been the one
Nobody knows you better
When all is said and done

[Chorus]
When your friends start to trip and you're losing your grip
And you can't find your way back home
When your world falls apart and you're lost in the dark
And you know that you're all alone
When you just can't deal and you need something real
Someone who'll always come through
Who ya gonna run to? Who ya gonna run to?

[Verse 2]
You and me, we go back to jump rope in grade school
Memories when you were trying too hard to play cool
I don't mind, I know that you've gotta go to your changes
Take your time, sometimes the heart rearranges


[Pre-Chorus]
As long as we’ve been together
You’ve always been the one
Nobody knows you better
When all is said and done

[Chorus]
When your friends start to trip and you're losing your grip
And you can't find your way back home
(Can't find your way back home)
When your world falls apart and you're lost in the dark
And you know that you're all alone (You're all alone)
When you just can't deal and you need something real
Someone who'll always come through
Who ya gonna run to? (Who ya gonna run to?)
Who ya gonna run to? (Who ya gonna run to?)

[Bridge]
There ain't nobody who can ever understand like I do (I do)
So when you realize you need the one you said goodbye to
Look over your shoulder, boy, and you know who'll be there
You know I'm gonna be right there, right there

[Chorus]
When your friends start to trip and you're losing your grip
And you can't find your way back home
When your world falls apart and you're lost in the dark
And you know that you're all alone
When you just can't deal and you need something real
Someone who'll always come through
Who ya gonna run to? Who ya gonna run to?
When there's nobody else in the world you can put your trust in
Who ya gonna run to?
And you find all the haters around ya that don't mean nothing
Who ya gonna run to?
Who ya gonna run to?";2006;0
A Girl Like Me;Pon de Replay (Full Phatt Remix);"[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up

[Verse 1]
It goes one by one, even two by two
Everybody on the floor, let me show you how we do
Let's go, dip it low, then you bring it up slow
Wind it up one time, wind it back once more

[Pre-Chorus]
Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club, give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move
Come


[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

[Post-Chorus]
Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up (Hey, Mister)
Hey, Mister
Please, Mr. DJ
Tell me if you hear me
Turn the music up

[Verse 2]
It goes one by one, even two by two
Everybody in the club gon' be rockin' when I'm through
Let the bass from the speakers run through ya sneakers
Move both ya feet and run to the beat


[Pre-Chorus]
Come run, run, run, run
Everybody move, run
Lemme see you move and rock it 'til the groove done
Shake it 'til the moon becomes the sun (Sun)
Everybody in the club give me a run (Run)
If you ready to move say it (Yeah)
One time for your mind say it (Yeah, yeah)
Well, I'm ready for ya
Come let me show ya
You want to groove, I'mma show you how to move

[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?

[Bridge]
Okay, everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling
Everybody get down if you feel me
Put your hands up to the ceiling
Everybody get down if you feel me
Come and put your hands up to the ceiling


[Chorus]
Come, Mr. DJ, song pon de replay
Come, Mr. DJ, won't you turn the music up?
All the gyal pon the dancefloor wantin' some more what
Come, Mr. DJ, won't you turn the music up?";2006;0
A Girl Like Me;Coulda Been the One;"[Verse 1]
Looking back, it's hard for me to see
Just how I coulda been so blind
Like an actor on a movie screen
You played the part with every line
Well, every story doesn't have a happy ending
Sometimes a flower doesn't grow
I hope you understand the message that I'm sending
But boy, I think you need to know

[Chorus]
(Coulda been the one)
That I would give it all to catch you when you fall, boo
(Shoulda been the one)
Didn't know just what you had, boy
Now it's just too bad, boy
(After all is said and done)
You're a cheater and a liar
Went to play with fire
Boy, I hope that you enjoyed your fun
'Cause you coulda been the one
There's nothing left to say
Coulda been the one
Coulda been, shoulda been, baby

[Verse 2]
My momma didn't raise no fool
She said play with fire, you get burned
You laughed at me, I laugh at you
Now it seems the tables turned
I must admit, I really thought you had potential
But I could not have been more wrong
I need somebody I can trust with his essentials
You had your chance, but now I'm long gone


[Chorus]
(Coulda been the one)
That I would give it all to catch you when you fall, boo
(Shoulda been the one)
Didn't know just what you had, boy
Now it's just too bad, boy
(After all is said and done)
You're a cheater and a liar
Went to play with fire
Boy, I hope that you enjoyed your fun
'Cause you coulda been the one
Coulda been the one, baby
Coulda been the one

[Bridge]
You played yourself, boy
And there is no denying it
It's just the way the story goes
You made your bed, boy
Better go and lie in it
But know that you'll be lying there alone

[Chorus]
(Coulda been the one)
That I would give it all to catch you when you fall, boo
(Shoulda been the one)
Didn't know just what you had, boy
Now it's just too bad, boy
(After all is said and done)
You're a cheater and a liar
Went to play with fire
Boy, I hope that you enjoyed your fun
'Cause you coulda been the one
There's nothing left to say
Coulda been the one
Coulda been, shoulda been";2006;0
Good Girl Gone Bad;Umbrella (Ft. JAY-Z) ;"[Intro: JAY-Z]
Uh-huh, uh-huh (Yeah, Rihanna)
Uh-huh, uh-huh (Good Girl Gone Bad)
Uh-huh, uh-huh (Take three, action)
Uh-huh, uh-huh (Hov)

[Verse 1: JAY-Z]
No clouds in my stones
Let it rain, I hydroplane in the bank
Coming down with the Dow Jones
When the clouds come, we gone, we Roc-A-Fella
We fly higher than weather, in G5's or better
You know me (You know me)
In anticipation for precipitation, stack chips for the rainy day
Jay—Rain Man is back
With Little Miss Sunshine, Rihanna, where you at?

[Verse 2: Rihanna]
You have my heart
And we'll never be worlds apart
Maybe in magazines
But you'll still be my star
Baby, ‘cause in the dark
You can't see shiny cars
And that's when you need me there
With you, I'll always share
Because


[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh

[Verse 3: Rihanna]
These fancy things
Will never come in between
You're part of my entity
Here for infinity
When the war has took its part
When the world has dealt its cards
If the hand is hard
Together we'll mend your heart
Because

[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh


[Bridge: Rihanna]
You can run into my arms
It's okay, don't be alarmed
Come into me
There's no distance in between our love
So gon' and let the rain pour
I'll be all you need and more
Because

[Chorus: Rihanna]
When the sun shine, we shine together
Told you I'll be here forever
Said I'll always be your friend
Took an oath, I'ma stick it out to the end
Now that it's raining more than ever
Know that we'll still have each other
You can stand under my umbrella
You can stand under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh
Under my umbrella, ella, ella, eh, eh, eh, eh, eh-eh

[Outro: Rihanna]
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
Baby, come here to me
Come into me
It's rainin', rainin'
Ooh, baby, it's rainin', rainin'
You can always come into me
Come into me
It's pourin' rain
It's pourin' rain
Come here to me
Come into me
It's pourin' rain
It's pourin' rain";2007;856900
Good Girl Gone Bad;Push Up on Me;"[Intro]
We break, break
We break, break
We break, break
We're breaking down
We break, break
We break, break
We break, break
We're breaking down

[Verse 1]
It's getting later baby, and I'm getting curious
Nobody's looking at us, I feel delirious
'Cause the beat penetrates my body
Shaking inside my bones
And you're pushing all my buttons
Taking me out of my zone, yeah

[Pre-Chorus]
The way that you stare, starts the fire in me
Come up to my room, you sexy little thing
And let's play a game, I won't be a tease
I'll show you the boom, my sexy little thing

[Chorus]
I wish you would push up on me
I wish you would push up on me
I wish you would light me up and say you want me
Push up on me
I wish you would push up on me
I wish you would push up on me
I wish you would light me up and say you want me
Push up on me


[Verse 2]
I know many guys just like you, extremely confident
Got so much flavor with you, like you're the perfect man
You wanna make me chase you, like it's a compliment
But let's get right down to it
I can be the girl that'll break you down

[Pre-Chorus]
The way that you stare, starts the fire in me
Come up to my room, you sexy little thing
And let's play a game, I won't be a tease
I'll show you the boom, my sexy little thing

[Chorus]
I wish you would push up on me
I wish you would push up on me
I wish you would light me up and say you want me
Push up on me
I wish you would push up on me
I wish you would push up on me
I wish you would light me up and say you want me
Push up on me

[Refrain]
We break, break
We break, break
We break, break
We're breaking down
We break, break
We break, break
We break, break
We're breaking down


[Bridge]
I wanna see how you move it
Show me, show me how you do it
You really got me on it, I must confess (I must confess)
Baby, there ain't nothing to it
Baby, who you think you're fooling?
You wanna come and get me outta my dress, oh

[Pre-Chorus]
The way that you stare, starts the fire in me (The way you stare at me)
Come up to my room, you sexy little thing (Sexy little thing)
And let's play a game (Yeah), I won't be a tease (No, baby)
I'll show you the boom, my sexy little thing (Oh-oh-oh)

[Chorus]
I wish you would push up on me (I wish you would)
I wish you would push up on me (I wish you would)
I wish you would light me up (Light me up)
And say you want me
Push up on me (And say you want me)
I wish you would push up on me (I wish you would)
I wish you would push up on me (Oh-oh)
I wish you would light me up and say you want me
Push up on me (Light me up)

[Outro]
We break, break
We break, break
We break, break
We're breaking down
We break, break
We break, break
We break, break
We're breaking down";2007;12000
Good Girl Gone Bad;Don't Stop the Music;"[Intro: Rihanna]
Please don't stop the music (Music, music, music, music)
Please don't stop the music (Music, music, music, music)
Please don't stop the music (Music, music, music, music)
Please don't stop the music (Music, music, music, music)

[Verse 1: Rihanna]
It's gettin' late, I'm making my way over to my favorite place
I gotta get my body moving, shake the stress away
I wasn't looking for nobody when you looked my way
Possible candidate, yeah
Who knew that you'd be up in here lookin' like you do
You're making stayin' over here impossible
Baby, I'ma say your aura is incredible
If you don't have to go, don't

[Pre-Chorus: Rihanna]
Do you know what you started?
I just came here to party
But now we're rockin' on the dance floor, actin' naughty
Your hands around my waist
Just let the music play
We're hand in hand, chest to chest, and now we're face to face

[Chorus: Rihanna]
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music


[Verse 2: Rihanna]
Baby, are you ready? ’Cause it's getting close
Don't you feel the passion ready to explode?
What goes on between us, no one has to know
This is a private show, oh

[Pre-Chorus: Rihanna]
Do you know what you started?
I just came here to party
But now we're rockin' on the dance floor, actin' naughty
Your hands around my waist
Just let the music play
We're hand in hand, chest to chest, and now we're face to face

[Chorus: Rihanna]
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music

[Bridge: Michael Jackson & Rihanna]
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music (Music, music, music, music)
Please don't stop the music (Music, music, music, music)


[Chorus: Rihanna]
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the music
I wanna take you away, let's escape into the music, DJ, let it play
I just can't refuse it, like the way you do this
Keep on rockin' to it
Please don't stop the, please don't stop the, please don't stop the music

[Bridge: Michael Jackson & Rihanna]
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music

[Outro: Michael Jackson & Rihanna]
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Mama-say, mama-sa, ma-ma-ko-ssa
Please don't stop the music (Music, music, music, music)";2007;300200
Good Girl Gone Bad;Breakin' Dishes;"[Intro]
I don't know who you think I am
I don't know who you think I am
I don't know who you think I am
I don't know who you think I am

[Verse 1]
He been gone (Gone) since 3:30 (3:30)
Been coming home lately at 3:30 (3:30)
I'm super cool, I've been a fool
But now I'm hot, and baby, you gon' get it
Now I ain't tripping, I ain't twisted
I ain't demented, well, just a lil' bit
I'm kickin' asses, I'm taking names
I'm on flame, don't come home, babe

[Chorus]
I'm breakin' dishes up in here, all night (Uh-huh)
I ain't gon' stop until I see police lights (Uh-huh)
I'ma fight a man tonight, I'ma fight a man tonight
I'ma fight a man, a man, a man
A man, a man, a man, oh

[Verse 2]
I'm still waiting, come through the door
I'm killing time, you know, bleaching your clothes
I'm roasting marshmallows on the fire
And what I'm burning is your attire
I'm getting restless, I'm getting tested
And I can't believe he's always out every night and never checks in
Is he cheating? Man, I don't know
I'm looking 'round for something else to throw


[Chorus]
I'm breakin' dishes up in here, all night (Uh-huh)
I ain't gon' stop until I see police lights (Uh-huh)
I'ma fight a man tonight, I'ma fight a man tonight
I'ma fight a man, a man, a man
A man, a man, a man, oh

[Bridge]
I don't know who you think I am (I am, I am, I am, I am)
(I don't know who you think I am)
But I really don't give a damn right now
If you don't come, I'ma huff and puff and blow this, blow this, oh
Blow this, blow this, I'ma blow this, blow this, oh
Blow this, blow this, I'ma blow this, blow this, oh
Blow this house, house down
Dishes, breakin' dishes, breakin' dishes

[Chorus]
I'm breakin' dishes up in here, all night (Uh-huh)
I ain't gon' stop until I see police lights (Uh-huh)
I'ma fight a man tonight, I'ma fight a man tonight
I'ma fight a man, a man, a man
A man, a man, a man
A man, a man, a man

[Outro]
Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes)
Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes)
Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes)
Breakin', breakin', breakin', breakin' (Dishes, dishes, dishes)";2007;21500
Good Girl Gone Bad;Shut Up and Drive;"[Verse 1]
I've been lookin' for a driver who is qualified
So if you think that you're the one, step into my ride
I'm a fine-tuned supersonic speed machine
With a sunroof top and a gangsta lean

[Pre-Chorus]
So if you feel me, let me know, know, know
Come on now, what you waitin' for, for, for?
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go

[Chorus]
Get you where you wanna go, if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can, baby boy, then we can go all night
‘Cause I'm 0 to 60 in three point five
Baby, you got the keys
Now shut up and drive (Drive, drive, drive)
Shut up and drive (Drive, drive, drive)

[Verse 2]
I've got class like a '57 Cadillac
Got overdrive with a whole lot of boom in the back
You look like you can handle what's under my hood
You keep saying that you will, boy, I wish you would


[Pre-Chorus]
So if you feel me, let me know, know, know
Come on now, what you waitin' for, for, for
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go

[Chorus]
Get you where you wanna go, if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can, baby boy, then we can go all night
‘Cause I'm 0 to 60 in three point five
Baby, you got the keys
Now shut up and drive (Drive, drive, drive)
Shut up and drive (Drive, drive, drive)

[Bridge]
‘Cause your Maybach, ain't got what I got (Get it, get it)
Don't stop, it's a sure shot
And your Ferrari, huh boy, I'm sorry
I ain't even worried, so step inside and ride
(Ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride, ride)

[Pre-Chorus]
So if you feel me, let me know, know, know
Come on now, what you waitin' for, for, for
My engine's ready to explode, explode, explode
So start me up and watch me go, go, go, go


[Chorus]
Get you where you wanna go, if you know what I mean
Got a ride that's smoother than a limousine
Can you handle the curves? Can you run all the lights?
If you can, baby boy, then we can go all night
‘Cause I'm 0 to 60 in three point five
Baby, you got the keys
Now shut up and drive (Drive, drive, drive)
Shut up and drive (Drive, drive, drive)
Shut up and drive (Drive, drive, drive)
Shut up and drive (Drive, drive, drive, drive, drive, drive, drive, drive, drive, drive, drive, drive, drive)";2007;88200
Good Girl Gone Bad;Hate That I Love You (Ft. Ne-Yo);"[Intro: Rihanna & Ne-Yo]
Yeah, yeah
Yeah, yeah
That's how much I love you (Yeah)
That's how much I need you (Yeah, yeah, yeah)

[Verse 1: Rihanna & Ne-Yo, Both]
And I can't stand you
Must everything you do make me wanna smile
Can I not like you for awhile? (No)
But you won't let me
You upset me, girl
And then you kiss my lips
All of a sudden I forget (That I was upset)
Can't remember what you did
But I hate it...
You know exactly what to do
So that I can't stay mad at you
For too long, that's wrong
But I hate it
You know exactly how to touch
So that I don't wanna fuss and fight no more
Said I despise that I adore you

[Chorus: Rihanna & (Ne-Yo)]
And I hate how much I love you, boy (Yeah)
I can't stand how much I need you (I need you)
And I hate how much I love you, boy (Oh, whoa)
But I just can't let you go
And I hate that I love you so (Oh)


[Verse 2: Ne-Yo & Rihanna]
You completely know the power that you have (Power that you have)
The only one makes me laugh (Makes me laugh)
Said it's not fair
How you take advantage of the fact
That I... (I)
Love you beyond the reason why (Why)
And it just ain't right, oh

[Chorus: Ne-Yo & (Rihanna)]
And I hate how much I love you, girl (Ooh)
I can't stand how much I need you (Yeah)
And I hate how much I love you, girl
But I just can't let you go (Ooh)
But I hate that I love you so

[Bridge: Rihanna & Ne-Yo, Both]
One of these days, maybe your magic won't affect me (Hmm)
And your kiss won't make me weak
But no one in this world knows me the way you know me
So you'll probably always have a spell on me
Yeah
Ooh, oh, oh
Yeah, yeah, yeah, yeah, yeah, yeah

[Chorus: Rihanna & Ne-Yo, Both]
That's how much I love you
How much as I need you
How much I need you
How much I love you
That's how much I love you
Oh, I need you
That's how much I need you
I need you
And I hate that I love you so
And I hate how much I love you, boy
I can't stand how much I need you
(I can't stand how much I need you)
And I hate how much I love you, boy (Yeah)
But I just can't let you go
(But I just can't let you go, no)
And I hate that I love you so (Ooh)
And I hate that I love you so, so";2007;87400
Good Girl Gone Bad;Say It;"[Intro]
You should tell me what's bugging you
And I'ma tell ya 'bout me
Make a wish and tell me your deepest thoughts
And I'ma make it easy
Make a wish and tell me what's bugging you
And I'ma tell ya 'bout me
Make a wish and tell me your deepest thoughts
And I'ma make it easy

[Verse 1]
Emotions running wild
I could feel it when I'm next to you
Something's on ya mind
You wanna stay, but won't tell me
It's a bunch of secrecy
So what are you tryna hide?
I know what that look means
You hold my hand so tightly
Whenever we say goodbye
Standing by the door
I could tell you can't take no more
Blow your secret open wide

[Chorus]
So maybe if you say it (Say it)
Tell me what it is you like (Like)
Baby, baby, don't be shy (Shy)
Maybe you can spend the night (Night)
If you say it
But if you playing (Not with it)
'Cause you know what I wanna hear (Hear)
Say it, that'll make it more clear (Clear)
I need to know how you feel
So baby, why won't you (Say it)
Say it (Say it)


[Post-Chorus]
Won't, won't you tell me
What, what's goin' on?
Why, why you waitin' on it?
What you waiting for?
Soon you should tell me or I might be gone
But I'm here for you, baby
You should put me on

[Verse 2]
I won't shoot you down
Make you feel some kinda way
If you'll be honest with me
Put away your pride
I can see it in your face
You want me permanently (Uh)
Like how I whine when we dancing
I know how it happened
And I'm right there with you
But I won't be the first to put myself out there
The feeling is mutual
But I bet if you (Say it)

[Chorus]
So maybe if you say it (Say it)
Tell me what it is you like (Like)
Baby, baby, don't be shy (Shy)
Maybe you can spend the night (Night)
If you say it
But if you playing (Not with it)
'Cause you know what I wanna hear (Hear)
Say it, that'll make it more clear (Clear)
I need to know how you feel
So baby, why won't you (Say it)
Say it (Say it)


[Bridge]
Your eyes steady talking
And you're tryna fight it
But some things, baby, are not worth hiding
And we can find heaven
If we go look together
So won't, won't you tell me
And get it off your chest
Your eyes steady talking
And you're tryna fight it
But some things, baby, are not worth hiding
And we can find heaven
If we go look together
So won't, won't you tell me
And get it off your chest

[Chorus]
So maybe if you say it (Say it)
Tell me what it is you like (Like)
Baby, baby, don't be shy (Shy)
Maybe you can spend the night (Night)
If you say it
But if you playing (Not with it)
'Cause you know what I wanna hear (Hear)
Say it, that'll make it more clear (Clear)
I need to know how you feel
So baby why won't you (Say it)
Say it (Say it)


[Bridge]
Your eyes steady talking
And you're tryna fight it
But some things, baby, are not worth hiding
And we can find heaven
If we go look together
So won't, won't you tell me
And get it off your chest
Your eyes steady talking
And you're tryna fight it
But some things, baby, are not worth hiding
And we can find heaven
If we go look together
So won't, won't you tell me
And get it off your chest

[Chorus]
So maybe if you say it (Say it)
Tell me what it is you like (Like)
Baby, baby, don't be shy (Shy)
Maybe you can spend the night (Night)
If you say it
But if you playing (Not with it)
'Cause you know what I wanna hear (Hear)
Say it, that'll make it more clear (Clear)
I need to know how you feel
So baby, why won't you (Say it)
Say it (Say it)";2007;9700
Good Girl Gone Bad;Sell Me Candy;"[Verse 1]
Sell me candy like it’s summer when it’s melting in my hands
I know you’re around like the ice cream man
I can hear you calling, whisper something in my ear
You're sweet like sugar, tell me what I wanna hear
I’m weak by your touch and when it’s melting on my lips
I run through my body when you lick my fingertips
You’re selling me a fantasy that I wanna explore
It sounds so good, spoil me rotten to the core

[Chorus]
Talk to me
Take care of my dreams
All I need is you beside me
It’s destiny, just let it be
If words can speak
Then baby, sell it to me
Sell me candy, sell me love
Sell me heaven, sell me doves
What’s the charge? What’s the cost?
(I’m the daddy) You the boss

[Verse 2]
You could be a professional, boy, you make a sale
I try to resist, but every time I fail
The one temptation that I gotta endure
The running through my body, now you’re knocking at my door
A thin little kiss and your call is really sweet
But the shawty that you’re rocking is nothing like me
You’re selling me a fantasy that I wanna explore
It sounds so good, spoil me rotten to the core (You know)


[Chorus]
Talk to me
Take care of my dreams
All I need is you beside me
It’s destiny, just let it be
If words can speak
Then baby, sell it to me
Sell me candy, sell me love
Sell me heaven, sell me doves
What’s the charge? What’s the cost?
(I’m the daddy) You the boss

[Verse 3]
I wanna play, more than you know
So don’t you leave, and don’t you go
I want it all, until time falls
His arms, I want to roam
I wanna love, give him my trust
I wanna live, for both of us
I wanna breathe you, lay on your shoulder
I wanna warm you when nights get colder
I want love, love, love
I want love, love, love

[Chorus]
Talk to me
Take care of my dreams
All I need is you beside me
It’s destiny, just let it be
If words can speak
Then baby, sell it to me
Sell me candy, sell me love
Sell me heaven, sell me doves
What’s the charge? What’s the cost?
(I’m the daddy) You the boss";2007;12000
