Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
1.0,Fri,2023-08-18,20:30,Werder Bremen,0.6,2.8,Bayern Munich,42100.0,Wohninvest Weserstadion,Felix Zwayer,0,0,4,17.0,0.0,12.0,383.0,29.0,3.0,15.0,16.0,3.0,13.0,10.0,53.0,11.0,6.0,18.0,811.0,3.0,6.0,17.0,9.0,0.0,5.0,21.0,49.0
1.0,Sat,2023-08-19,15:30,Leverkusen,1.4,1.6,RB Leipzig,29464.0,BayArena,Felix Brych,1,3,2,13.0,4.0,15.0,574.0,15.0,8.0,12.0,15.0,2.0,6.0,12.0,43.0,10.0,5.0,13.0,691.0,16.0,8.0,13.0,12.0,0.0,6.0,23.0,44.0
1.0,Sat,2023-08-19,15:30,Wolfsburg,2.2,1.2,Heidenheim,22620.0,Volkswagen Arena,Florian Badstübner,2,2,0,10.0,1.0,8.0,649.0,17.0,16.0,18.0,17.0,2.0,6.0,18.0,51.0,9.0,7.0,24.0,655.0,20.0,13.0,21.0,7.0,0.0,8.0,25.0,82.0
1.0,Sat,2023-08-19,15:30,Stuttgart,3.0,0.8,Bochum,53000.0,MHPArena,Daniel Siebert,3,5,0,5.0,7.0,24.0,702.0,7.0,8.0,21.0,15.0,2.0,5.0,19.0,65.0,12.0,0.0,8.0,495.0,24.0,9.0,15.0,24.0,2.0,8.0,20.0,61.0
1.0,Sat,2023-08-19,15:30,Augsburg,2.3,1.7,M'Gladbach,30660.0,WWK Arena,Daniel Schlager,4,4,4,9.0,8.0,23.0,620.0,13.0,12.0,22.0,11.0,4.0,5.0,16.0,57.0,13.0,7.0,19.0,506.0,10.0,7.0,15.0,19.0,1.0,6.0,12.0,75.0
1.0,Sat,2023-08-19,15:30,Hoffenheim,1.4,2.6,Freiburg,25890.0,PreZero Arena,Sven Jablonski,5,1,2,9.0,4.0,24.0,623.0,11.0,7.0,20.0,24.0,3.0,10.0,16.0,78.0,9.0,2.0,23.0,610.0,17.0,11.0,25.0,15.0,0.0,7.0,15.0,88.0
1.0,Sat,2023-08-19,18:30,Dortmund,1.8,1.2,Köln,81365.0,Signal Iduna Park,Deniz Aytekin,6,1,0,13.0,6.0,18.0,862.0,11.0,10.0,15.0,16.0,1.0,7.0,20.0,60.0,11.0,3.0,20.0,510.0,20.0,12.0,14.0,23.0,2.0,2.0,24.0,47.0
1.0,Sun,2023-08-20,15:30,Union Berlin,1.9,2.3,Mainz 05,22012.0,Stadion An der Alten Försterei,Tobias Stieler,7,4,1,15.0,3.0,15.0,511.0,7.0,4.0,34.0,21.0,1.0,5.0,23.0,84.0,16.0,1.0,17.0,570.0,13.0,14.0,25.0,11.0,0.0,2.0,20.0,59.0
1.0,Sun,2023-08-20,17:30,Eint Frankfurt,1.5,0.5,Darmstadt 98,54000.0,Deutsche Bank Park,Harm Osmers,8,1,0,9.0,7.0,12.0,715.0,13.0,3.0,12.0,11.0,0.0,7.0,28.0,60.0,14.0,3.0,14.0,497.0,26.0,13.0,14.0,14.0,2.0,10.0,14.0,90.0
2.0,Fri,2023-08-25,20:30,RB Leipzig,1.8,1.1,Stuttgart,46084.0,Red Bull Arena,Frank Willenborg,9,5,1,11.0,4.0,16.0,658.0,11.0,7.0,9.0,14.0,4.0,6.0,21.0,41.0,10.0,4.0,12.0,571.0,20.0,7.0,8.0,20.0,1.0,4.0,7.0,62.0
