index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att_y,Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
6,Eric Maxim Choupo-Moting,13.0,cm CMR,AM,32-143,9,0,0,0,0,0,0,0,0,9.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,66.7,1.0,6.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
7,Leon Goretzka,8.0,de GER,DM,26-188,90,0,0,0,0,3,0,0,0,53.0,4.0,1,0.0,0.4,0.4,0.0,7.0,0.0,41.0,45.0,91.1,6.0,34.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
8,Joshua Kimmich,6.0,de GER,DM,26-186,90,0,1,0,0,1,0,0,0,103.0,1.0,1,1.0,0.2,0.2,0.5,5.0,1.0,80.0,94.0,85.1,11.0,62.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
9,Alphonso Davies,19.0,ca CAN,LB,20-284,90,0,0,0,0,1,1,0,0,100.0,3.0,1,1.0,0.2,0.2,0.6,6.0,0.0,71.0,81.0,87.7,9.0,64.0,7.0,13.0,9.0,,,,,,,,,,,,,,,,,,,,,0,0
10,Niklas Süle,4.0,de GER,CB,25-344,90,0,0,0,0,0,0,0,0,99.0,1.0,0,0.0,0.0,0.0,0.2,2.0,0.0,83.0,95.0,87.4,8.0,68.0,3.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,0,0
11,Dayot Upamecano,2.0,fr FRA,CB,22-290,90,0,0,0,0,2,0,0,0,94.0,3.0,1,0.0,0.1,0.1,0.0,0.0,0.0,65.0,80.0,81.3,8.0,60.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
12,Josip Stanišić,44.0,hr CRO,RB,21-133,81,0,0,0,0,3,2,0,0,71.0,2.0,2,0.0,0.4,0.4,0.0,3.0,1.0,49.0,59.0,83.1,2.0,35.0,2.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,0,0
13,Bouna Sarr,20.0,sn SEN,RB,29-194,9,0,0,0,0,0,0,0,0,9.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,83.3,0.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,0
14,Manuel Neuer,1.0,de GER,GK,35-139,90,0,0,0,0,0,0,0,0,55.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,53.0,94.3,0.0,37.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,0.9,3.0,5.0,60.0,47.0,9.0,10.6,22.8,6.0,0.0,21.0,9.0,0.0,0.0,4.0,29.6,0,0
0,Hamadi Al Ghaddioui,18.0,ma MAR,FW,30-326,64,1,0,0,0,3,2,0,0,23.0,0.0,0,1.0,0.4,0.4,0.0,2.0,1.0,10.0,15.0,66.7,0.0,8.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
1,Mohamed Sankoh,44.0,nl NED,FW,17-302,4,0,0,0,0,1,1,0,0,1.0,0.0,0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
2,Erik Thommy,11.0,de GER,WB,26-359,22,0,0,0,0,1,1,0,0,24.0,0.0,0,0.0,0.0,0.0,0.2,3.0,1.0,19.0,20.0,95.0,1.0,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
3,Mateo Klimowicz,31.0,de GER,AM,21-039,64,0,1,0,0,3,0,0,0,38.0,1.0,0,0.0,0.2,0.2,0.3,4.0,1.0,24.0,29.0,82.8,4.0,22.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
4,Daniel Didavi,10.0,de GER,AM,31-174,26,0,0,0,0,2,2,0,0,23.0,3.0,0,0.0,0.1,0.1,0.4,4.0,0.0,15.0,18.0,83.3,3.0,13.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
5,Philipp Förster,20.0,de GER,AM,26-191,90,0,1,0,0,7,1,0,0,72.0,0.0,0,1.0,0.4,0.4,0.4,9.0,1.0,57.0,62.0,91.9,10.0,48.0,5.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
6,Wataru Endo,3.0,jp JPN,CM,28-186,90,1,0,0,0,1,1,0,0,85.0,2.0,0,0.0,0.2,0.2,0.1,2.0,0.0,70.0,75.0,93.3,7.0,61.0,1.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,1,1
7,Atakan Karazor,16.0,de GER,CM,24-305,8,0,0,0,0,0,0,0,0,4.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,75.0,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
8,Philipp Klement,21.0,de GER,CM,28-339,82,1,0,0,0,3,1,0,0,93.0,0.0,0,0.0,0.2,0.2,0.6,13.0,1.0,83.0,89.0,93.3,15.0,60.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
9,Borna Sosa,24.0,hr CRO,WB,23-205,90,0,3,0,0,1,1,0,0,77.0,0.0,0,1.0,0.0,0.0,0.7,9.0,3.0,58.0,71.0,81.7,6.0,48.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
10,Roberto Massimo,30.0,de GER,"WB,FW",20-306,90,0,0,0,0,4,2,0,0,42.0,0.0,0,0.0,0.5,0.5,0.2,5.0,1.0,26.0,33.0,78.8,0.0,19.0,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,1,1
11,Marc-Oliver Kempf,4.0,de GER,CB,26-198,90,2,0,0,0,4,3,0,0,90.0,1.0,1,2.0,0.6,0.6,0.1,5.0,0.0,72.0,77.0,93.5,7.0,50.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,1
12,Waldemar Anton,2.0,de GER,CB,25-025,90,0,0,0,0,1,0,0,0,96.0,1.0,1,0.0,0.1,0.1,0.1,2.0,0.0,85.0,89.0,95.5,5.0,65.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
13,Konstantinos Mavropanos,5.0,gr GRE,CB,23-246,90,0,0,0,0,2,0,0,0,92.0,1.0,1,2.0,0.3,0.3,0.0,1.0,1.0,79.0,84.0,94.0,6.0,56.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,1
14,Florian Müller,1.0,de GER,GK,23-274,90,0,0,0,0,0,0,0,0,28.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,81.5,0.0,20.0,0.0,0.0,0.0,4.0,1.0,3.0,75.0,1.2,2.0,7.0,28.6,23.0,5.0,30.4,32.2,4.0,0.0,13.8,7.0,0.0,0.0,3.0,18.7,1,1
0,Branimir Hrgota,10.0,se SWE,FW,28-214,84,0,0,0,0,3,1,0,0,29.0,0.0,0,1.0,0.2,0.2,0.0,3.0,0.0,15.0,17.0,88.2,2.0,15.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
1,Jamie Leweling,40.0,de GER,FW,20-169,6,1,0,0,0,1,1,0,0,5.0,0.0,0,0.0,0.7,0.7,0.0,1.0,1.0,1.0,4.0,25.0,0.0,5.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,0,1
2,Håvard Nielsen,16.0,no NOR,FW,28-030,58,0,0,0,0,2,1,0,0,14.0,0.0,0,0.0,0.2,0.2,0.0,1.0,0.0,5.0,8.0,62.5,3.0,4.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
3,Dickson Abiama,11.0,ng NGA,FW,22-284,32,0,1,0,0,0,0,0,0,10.0,2.0,0,1.0,0.0,0.0,0.7,1.0,1.0,4.0,5.0,80.0,1.0,7.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
4,Julian Green,37.0,us USA,CM,26-069,69,0,0,0,0,1,1,0,0,22.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,78.6,1.0,12.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
5,Adrian Fein,6.0,de GER,CM,22-149,21,0,0,0,0,0,0,0,0,5.0,0.0,1,0.0,0.0,0.0,0.1,1.0,0.0,2.0,4.0,50.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
6,Paul Seguin,33.0,de GER,CM,26-138,90,0,0,0,0,0,0,1,0,53.0,2.0,0,0.0,0.0,0.0,0.0,3.0,0.0,43.0,50.0,86.0,7.0,36.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,0,1
7,Nils Seufert,8.0,de GER,CM,24-192,57,0,0,0,0,0,0,0,0,18.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,88.2,1.0,10.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
8,Hans Nunoo Sarpei,14.0,gh GHA,CM,22-357,33,0,0,0,0,0,0,0,0,8.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,100.0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
9,Gian-Luca Itter,27.0,de GER,WB,22-221,90,0,0,0,0,1,0,0,0,38.0,5.0,1,2.0,0.0,0.0,0.1,2.0,0.0,20.0,25.0,80.0,0.0,13.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
10,Marco Meyerhöfer,18.0,de GER,WB,25-269,90,0,0,0,0,0,0,0,0,40.0,0.0,2,1.0,0.0,0.0,0.0,1.0,0.0,27.0,32.0,84.4,0.0,23.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
11,Justin Hoogma,5.0,nl NED,CB,23-064,90,0,0,0,0,0,0,0,0,42.0,2.0,1,3.0,0.0,0.0,0.0,0.0,0.0,28.0,36.0,77.8,2.0,23.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,0,1
12,Maximilian Bauer,4.0,de GER,CB,21-186,90,0,0,0,0,0,0,0,0,56.0,1.0,0,2.0,0.0,0.0,0.0,0.0,0.0,39.0,47.0,83.0,3.0,38.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
13,Gideon Jung,23.0,de GER,CB,26-336,90,0,0,0,0,0,0,0,0,51.0,2.0,1,1.0,0.0,0.0,0.0,0.0,0.0,31.0,40.0,77.5,2.0,34.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,0,1
14,Sascha Burchert,30.0,de GER,GK,31-288,90,0,0,0,0,0,0,0,0,45.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,35.0,71.4,0.0,21.0,0.0,0.0,0.0,15.0,5.0,10.0,66.7,4.9,7.0,17.0,41.2,26.0,5.0,42.3,39.2,9.0,66.7,47.1,20.0,0.0,0.0,2.0,13.8,0,1
0,Max Kruse,10.0,de GER,FW,33-148,72,0,1,0,0,0,0,0,0,33.0,0.0,0,0.0,0.0,0.0,0.1,3.0,1.0,17.0,27.0,63.0,1.0,15.0,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
1,Cedric Teuchert,36.0,de GER,FW,24-212,18,0,0,0,0,1,1,0,0,5.0,0.0,0,0.0,0.1,0.1,0.0,2.0,0.0,1.0,1.0,100.0,0.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
2,Taiwo Awoniyi,14.0,ng NGA,FW,24-002,62,1,0,0,0,1,1,0,0,20.0,0.0,0,0.0,0.1,0.1,0.1,1.0,0.0,6.0,12.0,50.0,0.0,11.0,3.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
3,Andreas Voglsammer,9.0,de GER,FW,29-217,28,0,0,0,0,1,1,0,0,12.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,9.0,88.9,1.0,3.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
4,Marcus Ingvartsen,32.0,dk DEN,CM,25-222,63,0,0,0,0,1,1,0,0,22.0,0.0,2,0.0,0.1,0.1,0.0,0.0,0.0,9.0,12.0,75.0,0.0,9.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
5,Levin Öztunalı,7.0,de GER,CM,25-152,27,0,0,0,0,1,0,0,0,14.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,62.5,0.0,5.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,1,2
6,Rani Khedira,8.0,de GER,CM,27-199,90,0,0,0,0,0,0,0,0,33.0,2.0,1,0.0,0.0,0.0,0.0,1.0,1.0,15.0,26.0,57.7,3.0,12.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,1,2
