Wk,Day,Date,Time,Home,xG_x,xG_y,Away,Attendance,Venue,Referee,game_id,Score_x,Score_y,Fouls_x,Corners_x,Crosses_x,Touches_x,Tackles_x,Interceptions_x,Aerials Won_x,Clearances_x,Offsides_x,Goal Kicks_x,Throw Ins_x,Long Balls_x,Fouls_y,Corners_y,Crosses_y,Touches_y,Tackles_y,Interceptions_y,Aerials Won_y,Clearances_y,Offsides_y,Goal Kicks_y,Throw Ins_y,Long Balls_y
2.0,Sun,2022-08-14,17:30,Bayern Munich,2.0,0.5,Wolfsburg,75000.0,Allianz Arena,Harm Osmers,17,2,0,7.0,8.0,20.0,759.0,21.0,9.0,10.0,11.0,6.0,6.0,23.0,74.0,10.0,4.0,10.0,399.0,21.0,13.0,8.0,25.0,2.0,7.0,19.0,73.0
3.0,Fri,2022-08-19,20:30,M'Gladbach,2.7,1.0,Hertha BSC,48411.0,Stadion im Borussia-Park,Matthias Jöllenbeck,18,1,0,7.0,5.0,13.0,745.0,22.0,13.0,8.0,12.0,2.0,14.0,29.0,62.0,11.0,5.0,12.0,481.0,15.0,10.0,6.0,14.0,5.0,3.0,16.0,44.0
3.0,Sat,2022-08-20,15:30,Leverkusen,1.2,1.5,Hoffenheim,26300.0,BayArena,Tobias Reichel,19,0,3,14.0,3.0,17.0,580.0,16.0,10.0,6.0,10.0,1.0,6.0,31.0,48.0,17.0,1.0,13.0,491.0,19.0,18.0,10.0,13.0,2.0,8.0,19.0,67.0
3.0,Sat,2022-08-20,15:30,Augsburg,0.5,2.1,Mainz 05,23755.0,WWK Arena,Sascha Stegemann,20,1,2,13.0,3.0,10.0,523.0,14.0,8.0,8.0,18.0,1.0,11.0,24.0,69.0,19.0,3.0,18.0,530.0,9.0,17.0,26.0,12.0,4.0,3.0,31.0,81.0
3.0,Sat,2022-08-20,15:30,Stuttgart,0.9,0.6,Freiburg,47500.0,Mercedes-Benz Arena,Felix Brych,21,0,1,8.0,3.0,19.0,688.0,5.0,5.0,23.0,8.0,2.0,7.0,21.0,76.0,12.0,1.0,8.0,496.0,17.0,10.0,24.0,22.0,3.0,7.0,14.0,70.0
3.0,Sat,2022-08-20,15:30,Dortmund,0.5,1.3,Werder Bremen,81365.0,Signal Iduna Park,Florian Badstübner,22,2,3,13.0,3.0,10.0,595.0,18.0,7.0,10.0,17.0,7.0,9.0,28.0,53.0,9.0,5.0,11.0,585.0,17.0,12.0,14.0,21.0,3.0,8.0,21.0,74.0
3.0,Sat,2022-08-20,15:30,Wolfsburg,1.3,1.1,Schalke 04,26959.0,Volkswagen Arena,Felix Zwayer,23,0,0,13.0,12.0,36.0,751.0,11.0,3.0,21.0,26.0,2.0,5.0,20.0,98.0,10.0,4.0,11.0,418.0,23.0,10.0,17.0,44.0,8.0,7.0,18.0,70.0
3.0,Sat,2022-08-20,18:30,Union Berlin,0.7,0.9,RB Leipzig,21056.0,Stadion An der Alten Försterei,Deniz Aytekin,24,2,1,15.0,1.0,12.0,411.0,21.0,13.0,17.0,39.0,5.0,6.0,11.0,68.0,8.0,13.0,30.0,881.0,11.0,7.0,13.0,9.0,3.0,4.0,24.0,74.0
3.0,Sun,2022-08-21,15:30,Eint Frankfurt,0.9,0.3,Köln,50800.0,Deutsche Bank Park,Martin Petersen,25,1,1,16.0,5.0,17.0,589.0,14.0,6.0,13.0,32.0,3.0,6.0,30.0,80.0,11.0,9.0,22.0,524.0,25.0,18.0,18.0,24.0,4.0,7.0,18.0,73.0
3.0,Sun,2022-08-21,17:30,Bochum,0.7,2.9,Bayern Munich,26000.0,Vonovia Ruhrstadion,Daniel Siebert,26,0,7,10.0,5.0,18.0,410.0,15.0,11.0,14.0,19.0,3.0,7.0,19.0,83.0,6.0,5.0,10.0,649.0,20.0,10.0,9.0,14.0,5.0,9.0,16.0,46.0
