index,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp_x,Att_x,Cmp%_x,PrgP,Carries,PrgC,Att_x,Succ,SoTA,GA,Saves,Save%,PSxG,Cmp_y,Att_y,Cmp%_y,Att_y,Thr,Launch%,AvgLen,Att_y,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,home,game_id
0,Marvin Ducksch,7.0,de GER,FW,29-164,90,0,0,0,0,1,1,1,0,30,1,0,0,0.1,0.1,0.1,2,0,12,26,46.2,4,13,0,1,1,,,,,,,,,,,,,,,,,,,,,1,0
1,Niclas Füllkrug,11.0,de GER,FW,30-190,90,0,0,0,0,1,0,0,0,30,1,0,0,0.1,0.1,0.2,3,0,15,22,68.2,4,16,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0
2,Anthony Jung,3.0,de GER,LW,31-288,78,0,0,0,0,0,0,0,0,29,2,0,2,0.0,0.0,0.0,0,0,13,21,61.9,0,16,1,0,0,,,,,,,,,,,,,,,,,,,,,1,0
3,Leon Opitz,35.0,de GER,LW,18-129,12,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,5,1,1,0,,,,,,,,,,,,,,,,,,,,,1,0
4,Mitchell Weiser,8.0,de GER,RW,29-119,58,0,0,0,0,1,0,0,0,29,5,0,1,0.0,0.0,0.0,2,0,8,16,50.0,2,13,1,1,1,,,,,,,,,,,,,,,,,,,,,1,0
5,Oliver Burke,24.0,sct SCO,RW,26-133,32,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,6,12,50.0,0,7,2,1,1,,,,,,,,,,,,,,,,,,,,,1,0
6,Leonardo Bittencourt,10.0,de GER,CM,29-242,67,0,0,0,0,1,0,0,0,23,4,0,1,0.2,0.2,0.0,1,0,13,14,92.9,4,15,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
7,Romano Schmid,20.0,at AUT,CM,23-203,23,0,0,0,0,1,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,6,0,1,0,,,,,,,,,,,,,,,,,,,,,1,0
8,Jens Stage,6.0,dk DEN,CM,26-283,78,0,0,0,0,1,0,0,0,24,1,1,0,0.1,0.1,0.0,1,0,12,17,70.6,0,11,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
9,Dawid Kownacki,9.0,pl POL,CM,26-157,12,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,1,0,2,2,100.0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
10,Senne Lynen,14.0,be BEL,DM,24-180,67,0,0,0,0,0,0,1,0,21,2,1,4,0.0,0.0,0.0,1,0,12,12,100.0,0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,1,0
