Year,Host,World Final Ranking,University,Country,Medal,Percentage Score,num_of_top_100_last_20_year
2011,USA,27,University of Electronic Science and Technology of China,China,No,45.46,10
2011,USA,28,Taras Shevchenko National University of Kyiv,Ukraine,No,45.46,11
2011,USA,29,Massachusetts Institute of Technology,USA,No,45.46,20
2011,USA,30,Belarusian State University,Belarus,No,45.46,18
2011,USA,31,Universidade Federal de Pernambuco,Brazil,No,45.46,12
2011,USA,32,Tokyo Institute of Technology,Japan,No,45.46,18
2011,USA,33,South Ural State University,Russia,No,45.46,5
2011,USA,34,Kazakh-British Technical University,Kazakhstan,No,45.46,5
2011,USA,35,Perm State University,Russia,No,45.46,7
2011,USA,36,Kyoto University,Japan,No,45.46,13
2011,USA,37,Novosibirsk State University,Russia,No,45.46,13
2011,USA,38,Fudan University,China,No,45.46,18
2011,USA,39,Harbin Institute of Technology,China,No,45.46,4
2011,USA,40,Tianjin University,China,No,45.46,6
2011,USA,41,University of Helsinki,Finland,No,45.46,5
2011,USA,42,Universidade Federal do Paraná,Brazil,No,36.36,3
2011,USA,43,Moscow Institute of Physics & Technology,Russia,No,36.36,11
2011,USA,44,Wuhan University,China,No,36.36,6
2011,USA,45,Universidade de São Paulo - Escola Politécnica,Brazil,No,36.36,1
2011,USA,46,Princeton University,USA,No,36.36,6
2011,USA,47,Universidade de São Paulo - Instituto de Matemática e Estatística,Brazil,No,36.36,3
2011,USA,48,International Institute of Information Technology - Hyderabad,India,No,36.36,9
2011,USA,49,East China Normal University,China,No,36.36,4
2011,USA,50,Universidad Nacional de Córdoba - FaMAF,Argentina,No,36.36,9
