color,start time,start date,end time,end date,duration
Amber,18:05,5-Jun-01,11:30,6-Jun-01,17 25
Amber,5:00,7-Jun-01,22:05,7-Jun-01,17 05
Amber,4:25,8-Jun-01,8:20,8-Jun-01,03 55
Red,8:20,8-Jun-01,14:15,8-Jun-01,05 55
Amber,14:15,8-Jun-01,16:30,8-Jun-01,02 15
Amber,4:15,9-Jun-01,9:30,9-Jun-01,05 15
Red,9:30,9-Jun-01,13:30,9-Jun-01,04 00
Amber,13:30,9-Jun-01,15:30,9-Jun-01,02 00
Amber,8:20,10-Jun-01,13:30,10-Jun-01,05 10
Amber,7:20,11-Jun-01,10:35,11-Jun-01,03 15
Red,10:35,11-Jun-01,13:30,11-Jun-01,02 55
Amber,13:30,11-Jun-01,15:15,11-Jun-01,01 45
Amber,2:35,12-Jun-01,4:35,12-Jun-01,02 00
Red,4:35,12-Jun-01,6:15,12-Jun-01,01 40
Amber,6:15,12-Jun-01,15:00,12-Jun-01,08 45
Amber,5:35,13-Jun-01,10:30,13-Jun-01,04 55
Amber,20:35,23-Jun-01,6:30,24-Jun-01,09 55
Amber,18:05,25-Jun-01,23:00,25-Jun-01,04 55
Amber,15:00,26-Jun-01,18:15,26-Jun-01,03 15
Amber,8:45,27-Jun-01,14:35,27-Jun-01,05 50
Red,14:35,27-Jun-01,19:55,27-Jun-01,05 20
Amber,19:55,27-Jun-01,22:05,27-Jun-01,02 10
Amber,12:30,6-Jul-01,0:30,7-Jul-01,12 00
Amber,1:30,13-Jul-01,4:15,13-Jul-01,02 45
Amber,14:45,15-Jul-01,20:00,15-Jul-01,05 15
Amber,13:40,17-Jul-01,18:00,17-Jul-01,04 20
Amber,6:10,18-Jul-01,8:45,18-Jul-01,02 35
Amber,3:15,21-Jul-01,6:25,21-Jul-01,03 10
Amber,15:30,1-Aug-01,17:00,1-Aug-01,01 30
Amber,18:45,2-Aug-01,19:45,2-Aug-01,01 00
Red,19:45,2-Aug-01,21:45,2-Aug-01,02 00
Amber,22:10,12-Aug-01,23:45,12-Aug-01,01 35
Amber,22:15,27-Aug-01,0:05,28-Aug-01,01 50
Amber,12:55,30-Aug-01,17:20,30-Aug-01,04 25
Amber,5:20,1-Sep-01,10:00,1-Sep-01,04 40
Amber,17:30,1-Sep-01,22:05,1-Sep-01,04 35
Red,22:05,1-Sep-01,22:45,1-Sep-01,00 40
Black,22:45,1-Sep-01,3:15,2-Sep-01,04 30
Amber,2:40,3-Sep-01,10:15,3-Sep-01,07 35
Red,10:15,3-Sep-01,12:15,3-Sep-01,02 00
Amber,12:15,3-Sep-01,14:40,3-Sep-01,02 25
Amber,6:00,5-Sep-01,12:00,5-Sep-01,06 00
Amber,15:10,7-Sep-01,15:45,7-Sep-01,00 35
Red,15:45,7-Sep-01,20:30,7-Sep-01,04 45
Amber,6:00,23-Mar-02,11:30,23-Mar-02,05 30
Amber,6:45,10-May-02,7:45,10-May-02,01 00
Amber,4:20,11-May-02,6:00,11-May-02,01 40
Amber,20:40,20-May-02,0:10,21-May-02,03 30
Amber,21:50,22-May-02,1:20,23-May-02,03 30
Amber,6:25,11-Jun-02,12:15,11-Jun-02,05 50
Amber,2:20,17-Jul-02,4:30,17-Jul-02,02 10
Amber,6:55,17-Jul-02,8:40,17-Jul-02,01 45
Amber,12:55,29-Jul-02,13:55,29-Jul-02,01 00
Amber,6:10,6-Aug-02,11:35,6-Aug-02,05 25
Amber,7:20,9-Aug-02,11:15,9-Aug-02,03 55
Amber,14:35,9-Aug-02,17:55,9-Aug-02,03 20
Amber,4:35,10-Aug-02,6:50,10-Aug-02,02 15
Amber,11:30,10-Aug-02,13:30,10-Aug-02,02 00
Amber,21:10,14-Sep-02,3:30,15-Sep-02,06 20
Red,3:30,15-Sep-02,6:15,15-Sep-02,02 45
Amber,6:15,15-Sep-02,9:55,15-Sep-02,03 40
Amber,23:30,16-Sep-02,4:30,17-Sep-02,05 00
Amber,18:05,17-Sep-02,21:00,17-Sep-02,02 55
Amber,9:57,18-Oct-02,10:35,18-Oct-02,00 38
Red,10:35,18-Oct-02,13:20,18-Oct-02,02 45
Amber,4:20,21-Oct-02,7:10,21-Oct-02,02 50
Amber,20:40,8-Apr-03,0:30,9-Apr-03,03 50
Amber,18:55,4-May-03,20:20,4-May-03,01 25
Amber,1:45,5-May-03,4:45,5-May-03,03 00
Red,4:45,5-May-03,14:10,5-May-03,09 25
Amber,14:10,5-May-03,15:20,5-May-03,01 10
Amber,22:20,5-May-03,23:30,5-May-03,01 10
Amber,5:05,18-May-03,6:20,18-May-03,01 15
Amber,9:05,9-Jun-03,16:30,9-Jun-03,07 25
Amber,8:45,10-Jun-03,10:40,10-Jun-03,01 55
Amber,20:20,10-Jun-03,22:05,10-Jun-03,01 45
Amber,23:30,10-Jun-03,14:20,11-Jun-03,14 50
Amber,16:10,13-Jun-03,18:10,13-Jun-03,02 00
Amber,9:00,14-Jun-03,10:45,14-Jun-03,01 45
Amber,19:15,4-Aug-03,23:00,4-Aug-03,03 45
Amber,1:25,17-Aug-03,5:00,17-Aug-03,03 35
Amber,3:00,22-Aug-03,5:00,22-Aug-03,02 00
Amber,4:20,24-Aug-03,5:30,24-Aug-03,01 10
Amber,21:05,2-Sep-03,5:00,3-Sep-03,07 55
Amber,23:05,30-Mar-04,0:45,31-Mar-04,01 40
Amber,3:35,14-Apr-04,7:25,14-Apr-04,03 50
Amber,17:55,17-Apr-04,19:35,17-Apr-04,01 40
Amber,6:40,27-Apr-04,7:55,27-Apr-04,01 15
Amber,4:10,8-May-04,6:40,8-May-04,02 30
Red,6:40,8-May-04,7:20,8-May-04,00 40
Black,7:20,8-May-04,8:00,8-May-04,00 40
Red,8:00,8-May-04,10:15,8-May-04,02 15
Amber,10:15,8-May-04,11:00,8-May-04,00 45
Amber,9:55,14-May-04,11:30,14-May-04,01 35
Amber,17:00,16-Jul-04,18:50,16-Jul-04,01 50
Amber,2:20,17-Jul-04,3:30,17-Jul-04,01 10
Amber,9:55,21-Jul-04,10:35,21-Jul-04,00 40
Amber,2:40,29-Jul-04,10:45,29-Jul-04,08 05
Amber,4:50,6-Aug-04,8:45,6-Aug-04,03 55
Amber,6:36,14-Aug-04,7:20,14-Aug-04,00 44
Amber,6:14,29-Aug-04,11:55,29-Aug-04,05 41
Amber,14:40,29-Aug-04,16:15,29-Aug-04,01 35
Amber,20:25,21-Sep-04,21:30,21-Sep-04,01 05
Amber,10:35,8-May-05,14:00,8-May-05,03 25
Amber,12:10,9-May-05,14:20,9-May-05,02 10
Amber,2:35,10-May-05,5:00,10-May-05,02 25
Amber,11:15,10-May-05,12:30,10-May-05,01 15
Amber,22:50,18-May-05,0:30,19-May-05,01 40
Amber,19:30,20-May-05,22:00,20-May-05,02 30
Amber,18:35,27-May-05,20:35,27-May-05,02 00
Amber,16:00,15-Jun-05,23:15,15-Jun-05,07 15
Amber,9:10,21-Jun-05,14:40,21-Jun-05,05 30
Amber,1:30,24-Jun-05,10:00,24-Jun-05,08 30
Red,10:00,24-Jun-05,13:30,24-Jun-05,03 30
Amber,2:05,19-Jul-05,3:15,19-Jul-05,01 10
Amber,23:00,20-Jul-05,1:35,21-Jul-05,02 35
Amber,11:40,13-Aug-05,13:15,13-Aug-05,01 35
Amber,20:45,13-Aug-05,0:20,14-Aug-05,03 35
Amber,19:25,19-Aug-05,0:55,20-Aug-05,05 30
Amber,8:35,20-Aug-05,21:10,20-Aug-05,12 35
Amber,1:15,24-Apr-06,1:40,24-Apr-06,00 25
Red,1:40,24-Apr-06,2:30,24-Apr-06,00 50
Black,2:30,24-Apr-06,4:30,24-Apr-06,02 00
Red,4:30,24-Apr-06,5:30,24-Apr-06,01 00
Amber,5:30,24-Apr-06,7:45,24-Apr-06,02 15
Amber,4:40,28-Apr-06,10:15,28-Apr-06,05 35
Amber,21:10,2-May-06,21:55,2-May-06,00 45
Red,21:55,2-May-06,3:45,3-May-06,05 50
Amber,3:45,3-May-06,7:10,3-May-06,03 25
Amber,10:35,2-Jun-06,10:55,2-Jun-06,00 20
Red,10:55,2-Jun-06,14:45,2-Jun-06,03 50
Amber,14:45,2-Jun-06,15:30,2-Jun-06,00 45
