Year,District,Neighbourhood,Place_of_origin,Amount
2019,Ciutat Vella,el Raval,Andalusia,95
2019,Ciutat Vella,el Barri Gotic,Andalusia,64
2019,Ciutat Vella,la Barceloneta,Andalusia,41
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Andalusia,67
2019,Eixample,el Fort Pienc,Andalusia,41
2019,Eixample,la Sagrada Familia,Andalusia,93
2019,Eixample,la Dreta de l'Eixample,Andalusia,59
2019,Eixample,l'Antiga Esquerra de l'Eixample,Andalusia,77
2019,Eixample,la Nova Esquerra de l'Eixample,Andalusia,105
2019,Eixample,Sant Antoni,Andalusia,69
2019,Sants-Montjuic,el Poble Sec,Andalusia,83
2019,Sants-Montjuic,la Marina del Prat Vermell,Andalusia,1
2019,Sants-Montjuic,la Marina de Port,Andalusia,34
2019,Sants-Montjuic,la Font de la Guatlla,Andalusia,21
2019,Sants-Montjuic,Hostafrancs,Andalusia,41
2019,Sants-Montjuic,la Bordeta,Andalusia,26
2019,Sants-Montjuic,Sants - Badal,Andalusia,45
2019,Sants-Montjuic,Sants,Andalusia,74
2019,Les Corts,les Corts,Andalusia,60
2019,Les Corts,la Maternitat i Sant Ramon,Andalusia,30
2019,Les Corts,Pedralbes,Andalusia,9
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Andalusia,1
2019,Sarria-Sant Gervasi,Sarria,Andalusia,23
2019,Sarria-Sant Gervasi,les Tres Torres,Andalusia,3
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Andalusia,20
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Andalusia,43
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Andalusia,31
2019,Gracia,Vallcarca i els Penitents,Andalusia,12
2019,Gracia,el Coll,Andalusia,8
2019,Gracia,la Salut,Andalusia,18
2019,Gracia,la Vila de Gracia,Andalusia,95
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Andalusia,55
2019,Horta-Guinardo,el Baix Guinardo,Andalusia,34
2019,Horta-Guinardo,Can Baro,Andalusia,8
2019,Horta-Guinardo,el Guinardo,Andalusia,47
2019,Horta-Guinardo,la Font d'en Fargues,Andalusia,7
2019,Horta-Guinardo,el Carmel,Andalusia,45
2019,Horta-Guinardo,la Teixonera,Andalusia,22
2019,Horta-Guinardo,Sant Genis dels Agudells,Andalusia,11
2019,Horta-Guinardo,Montbau,Andalusia,6
2019,Horta-Guinardo,la Vall d'Hebron,Andalusia,4
2019,Horta-Guinardo,la Clota,Andalusia,0
2019,Horta-Guinardo,Horta,Andalusia,26
2019,Nou Barris,Vilapicina i la Torre Llobeta,Andalusia,28
2019,Nou Barris,Porta,Andalusia,48
2019,Nou Barris,el Turo de la Peira,Andalusia,21
2019,Nou Barris,Can Peguera,Andalusia,5
2019,Nou Barris,la Guineueta,Andalusia,14
2019,Nou Barris,Canyelles,Andalusia,11
2019,Nou Barris,les Roquetes,Andalusia,18
2019,Nou Barris,Verdun,Andalusia,15
2019,Nou Barris,la Prosperitat,Andalusia,47
2019,Nou Barris,la Trinitat Nova,Andalusia,6
2019,Nou Barris,Torre Baro,Andalusia,1
2019,Nou Barris,Ciutat Meridiana,Andalusia,14
2019,Nou Barris,Vallbona,Andalusia,1
2019,Sant Andreu,la Trinitat Vella,Andalusia,12
2019,Sant Andreu,Baro de Viver,Andalusia,3
2019,Sant Andreu,el Bon Pastor,Andalusia,16
2019,Sant Andreu,Sant Andreu,Andalusia,52
2019,Sant Andreu,la Sagrera,Andalusia,30
2019,Sant Andreu,el Congres i els Indians,Andalusia,6
2019,Sant Andreu,Navas,Andalusia,21
2019,Sant Marti,el Camp de l'Arpa del Clot,Andalusia,53
2019,Sant Marti,el Clot,Andalusia,22
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Andalusia,23
2019,Sant Marti,la Vila Olimpica del Poblenou,Andalusia,9
2019,Sant Marti,el Poblenou,Andalusia,48
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Andalusia,18
2019,Sant Marti,el Besos i el Maresme,Andalusia,52
2019,Sant Marti,Provencals del Poblenou,Andalusia,31
2019,Sant Marti,Sant Marti de Provencals,Andalusia,29
2019,Sant Marti,la Verneda i la Pau,Andalusia,40
2019,Ciutat Vella,el Raval,Aragon,36
2019,Ciutat Vella,el Barri Gotic,Aragon,14
2019,Ciutat Vella,la Barceloneta,Aragon,10
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Aragon,7
2019,Eixample,el Fort Pienc,Aragon,18
2019,Eixample,la Sagrada Familia,Aragon,43
2019,Eixample,la Dreta de l'Eixample,Aragon,28
2019,Eixample,l'Antiga Esquerra de l'Eixample,Aragon,27
2019,Eixample,la Nova Esquerra de l'Eixample,Aragon,34
2019,Eixample,Sant Antoni,Aragon,19
2019,Sants-Montjuic,el Poble Sec,Aragon,23
2019,Sants-Montjuic,la Marina del Prat Vermell,Aragon,0
2019,Sants-Montjuic,la Marina de Port,Aragon,9
2019,Sants-Montjuic,la Font de la Guatlla,Aragon,3
2019,Sants-Montjuic,Hostafrancs,Aragon,4
2019,Sants-Montjuic,la Bordeta,Aragon,7
2019,Sants-Montjuic,Sants - Badal,Aragon,16
2019,Sants-Montjuic,Sants,Aragon,29
2019,Les Corts,les Corts,Aragon,17
2019,Les Corts,la Maternitat i Sant Ramon,Aragon,12
2019,Les Corts,Pedralbes,Aragon,19
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Aragon,1
2019,Sarria-Sant Gervasi,Sarria,Aragon,9
2019,Sarria-Sant Gervasi,les Tres Torres,Aragon,11
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Aragon,5
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Aragon,16
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Aragon,11
2019,Gracia,Vallcarca i els Penitents,Aragon,4
2019,Gracia,el Coll,Aragon,1
2019,Gracia,la Salut,Aragon,8
2019,Gracia,la Vila de Gracia,Aragon,30
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Aragon,13
2019,Horta-Guinardo,el Baix Guinardo,Aragon,4
2019,Horta-Guinardo,Can Baro,Aragon,5
2019,Horta-Guinardo,el Guinardo,Aragon,21
2019,Horta-Guinardo,la Font d'en Fargues,Aragon,4
2019,Horta-Guinardo,el Carmel,Aragon,9
2019,Horta-Guinardo,la Teixonera,Aragon,5
2019,Horta-Guinardo,Sant Genis dels Agudells,Aragon,15
2019,Horta-Guinardo,Montbau,Aragon,1
2019,Horta-Guinardo,la Vall d'Hebron,Aragon,2
2019,Horta-Guinardo,la Clota,Aragon,0
2019,Horta-Guinardo,Horta,Aragon,12
2019,Nou Barris,Vilapicina i la Torre Llobeta,Aragon,5
2019,Nou Barris,Porta,Aragon,17
2019,Nou Barris,el Turo de la Peira,Aragon,11
2019,Nou Barris,Can Peguera,Aragon,0
2019,Nou Barris,la Guineueta,Aragon,6
2019,Nou Barris,Canyelles,Aragon,2
2019,Nou Barris,les Roquetes,Aragon,6
2019,Nou Barris,Verdun,Aragon,6
2019,Nou Barris,la Prosperitat,Aragon,8
2019,Nou Barris,la Trinitat Nova,Aragon,4
2019,Nou Barris,Torre Baro,Aragon,0
2019,Nou Barris,Ciutat Meridiana,Aragon,2
2019,Nou Barris,Vallbona,Aragon,0
2019,Sant Andreu,la Trinitat Vella,Aragon,9
2019,Sant Andreu,Baro de Viver,Aragon,0
2019,Sant Andreu,el Bon Pastor,Aragon,3
2019,Sant Andreu,Sant Andreu,Aragon,15
2019,Sant Andreu,la Sagrera,Aragon,15
2019,Sant Andreu,el Congres i els Indians,Aragon,4
2019,Sant Andreu,Navas,Aragon,9
2019,Sant Marti,el Camp de l'Arpa del Clot,Aragon,21
2019,Sant Marti,el Clot,Aragon,7
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Aragon,10
2019,Sant Marti,la Vila Olimpica del Poblenou,Aragon,0
2019,Sant Marti,el Poblenou,Aragon,6
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Aragon,5
2019,Sant Marti,el Besos i el Maresme,Aragon,28
2019,Sant Marti,Provencals del Poblenou,Aragon,7
2019,Sant Marti,Sant Marti de Provencals,Aragon,10
2019,Sant Marti,la Verneda i la Pau,Aragon,12
2019,Ciutat Vella,el Raval,Asturias,5
2019,Ciutat Vella,el Barri Gotic,Asturias,9
2019,Ciutat Vella,la Barceloneta,Asturias,11
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Asturias,6
2019,Eixample,el Fort Pienc,Asturias,4
2019,Eixample,la Sagrada Familia,Asturias,13
2019,Eixample,la Dreta de l'Eixample,Asturias,6
2019,Eixample,l'Antiga Esquerra de l'Eixample,Asturias,14
2019,Eixample,la Nova Esquerra de l'Eixample,Asturias,18
2019,Eixample,Sant Antoni,Asturias,10
2019,Sants-Montjuic,el Poble Sec,Asturias,14
2019,Sants-Montjuic,la Marina del Prat Vermell,Asturias,0
2019,Sants-Montjuic,la Marina de Port,Asturias,7
2019,Sants-Montjuic,la Font de la Guatlla,Asturias,1
2019,Sants-Montjuic,Hostafrancs,Asturias,6
2019,Sants-Montjuic,la Bordeta,Asturias,1
2019,Sants-Montjuic,Sants - Badal,Asturias,13
2019,Sants-Montjuic,Sants,Asturias,15
2019,Les Corts,les Corts,Asturias,9
2019,Les Corts,la Maternitat i Sant Ramon,Asturias,3
2019,Les Corts,Pedralbes,Asturias,2
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Asturias,0
2019,Sarria-Sant Gervasi,Sarria,Asturias,2
2019,Sarria-Sant Gervasi,les Tres Torres,Asturias,0
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Asturias,2
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Asturias,5
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Asturias,7
2019,Gracia,Vallcarca i els Penitents,Asturias,4
2019,Gracia,el Coll,Asturias,4
2019,Gracia,la Salut,Asturias,1
2019,Gracia,la Vila de Gracia,Asturias,10
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Asturias,5
2019,Horta-Guinardo,el Baix Guinardo,Asturias,3
2019,Horta-Guinardo,Can Baro,Asturias,0
2019,Horta-Guinardo,el Guinardo,Asturias,5
2019,Horta-Guinardo,la Font d'en Fargues,Asturias,0
2019,Horta-Guinardo,el Carmel,Asturias,0
2019,Horta-Guinardo,la Teixonera,Asturias,0
2019,Horta-Guinardo,Sant Genis dels Agudells,Asturias,1
2019,Horta-Guinardo,Montbau,Asturias,1
2019,Horta-Guinardo,la Vall d'Hebron,Asturias,0
2019,Horta-Guinardo,la Clota,Asturias,0
2019,Horta-Guinardo,Horta,Asturias,2
2019,Nou Barris,Vilapicina i la Torre Llobeta,Asturias,4
2019,Nou Barris,Porta,Asturias,0
2019,Nou Barris,el Turo de la Peira,Asturias,1
2019,Nou Barris,Can Peguera,Asturias,0
2019,Nou Barris,la Guineueta,Asturias,3
2019,Nou Barris,Canyelles,Asturias,0
2019,Nou Barris,les Roquetes,Asturias,1
2019,Nou Barris,Verdun,Asturias,1
2019,Nou Barris,la Prosperitat,Asturias,4
2019,Nou Barris,la Trinitat Nova,Asturias,2
2019,Nou Barris,Torre Baro,Asturias,0
2019,Nou Barris,Ciutat Meridiana,Asturias,0
2019,Nou Barris,Vallbona,Asturias,0
2019,Sant Andreu,la Trinitat Vella,Asturias,0
2019,Sant Andreu,Baro de Viver,Asturias,0
2019,Sant Andreu,el Bon Pastor,Asturias,3
2019,Sant Andreu,Sant Andreu,Asturias,8
2019,Sant Andreu,la Sagrera,Asturias,2
2019,Sant Andreu,el Congres i els Indians,Asturias,1
2019,Sant Andreu,Navas,Asturias,3
2019,Sant Marti,el Camp de l'Arpa del Clot,Asturias,7
2019,Sant Marti,el Clot,Asturias,6
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Asturias,2
2019,Sant Marti,la Vila Olimpica del Poblenou,Asturias,2
2019,Sant Marti,el Poblenou,Asturias,9
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Asturias,1
2019,Sant Marti,el Besos i el Maresme,Asturias,6
2019,Sant Marti,Provencals del Poblenou,Asturias,2
2019,Sant Marti,Sant Marti de Provencals,Asturias,1
2019,Sant Marti,la Verneda i la Pau,Asturias,3
2019,Ciutat Vella,el Raval,Balearic Islands,64
2019,Ciutat Vella,el Barri Gotic,Balearic Islands,33
2019,Ciutat Vella,la Barceloneta,Balearic Islands,24
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Balearic Islands,40
2019,Eixample,el Fort Pienc,Balearic Islands,35
2019,Eixample,la Sagrada Familia,Balearic Islands,44
2019,Eixample,la Dreta de l'Eixample,Balearic Islands,46
2019,Eixample,l'Antiga Esquerra de l'Eixample,Balearic Islands,42
2019,Eixample,la Nova Esquerra de l'Eixample,Balearic Islands,49
2019,Eixample,Sant Antoni,Balearic Islands,36
2019,Sants-Montjuic,el Poble Sec,Balearic Islands,39
2019,Sants-Montjuic,la Marina del Prat Vermell,Balearic Islands,1
2019,Sants-Montjuic,la Marina de Port,Balearic Islands,17
2019,Sants-Montjuic,la Font de la Guatlla,Balearic Islands,9
2019,Sants-Montjuic,Hostafrancs,Balearic Islands,12
2019,Sants-Montjuic,la Bordeta,Balearic Islands,12
2019,Sants-Montjuic,Sants - Badal,Balearic Islands,19
2019,Sants-Montjuic,Sants,Balearic Islands,39
2019,Les Corts,les Corts,Balearic Islands,24
2019,Les Corts,la Maternitat i Sant Ramon,Balearic Islands,23
2019,Les Corts,Pedralbes,Balearic Islands,6
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Balearic Islands,0
2019,Sarria-Sant Gervasi,Sarria,Balearic Islands,32
2019,Sarria-Sant Gervasi,les Tres Torres,Balearic Islands,20
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Balearic Islands,18
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Balearic Islands,49
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Balearic Islands,36
2019,Gracia,Vallcarca i els Penitents,Balearic Islands,7
2019,Gracia,el Coll,Balearic Islands,7
2019,Gracia,la Salut,Balearic Islands,17
2019,Gracia,la Vila de Gracia,Balearic Islands,41
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Balearic Islands,21
2019,Horta-Guinardo,el Baix Guinardo,Balearic Islands,25
2019,Horta-Guinardo,Can Baro,Balearic Islands,7
2019,Horta-Guinardo,el Guinardo,Balearic Islands,21
2019,Horta-Guinardo,la Font d'en Fargues,Balearic Islands,7
2019,Horta-Guinardo,el Carmel,Balearic Islands,16
2019,Horta-Guinardo,la Teixonera,Balearic Islands,7
2019,Horta-Guinardo,Sant Genis dels Agudells,Balearic Islands,3
2019,Horta-Guinardo,Montbau,Balearic Islands,2
2019,Horta-Guinardo,la Vall d'Hebron,Balearic Islands,4
2019,Horta-Guinardo,la Clota,Balearic Islands,0
2019,Horta-Guinardo,Horta,Balearic Islands,3
2019,Nou Barris,Vilapicina i la Torre Llobeta,Balearic Islands,9
2019,Nou Barris,Porta,Balearic Islands,13
2019,Nou Barris,el Turo de la Peira,Balearic Islands,12
2019,Nou Barris,Can Peguera,Balearic Islands,0
2019,Nou Barris,la Guineueta,Balearic Islands,7
2019,Nou Barris,Canyelles,Balearic Islands,1
2019,Nou Barris,les Roquetes,Balearic Islands,7
2019,Nou Barris,Verdun,Balearic Islands,6
2019,Nou Barris,la Prosperitat,Balearic Islands,12
2019,Nou Barris,la Trinitat Nova,Balearic Islands,5
2019,Nou Barris,Torre Baro,Balearic Islands,0
2019,Nou Barris,Ciutat Meridiana,Balearic Islands,4
2019,Nou Barris,Vallbona,Balearic Islands,0
2019,Sant Andreu,la Trinitat Vella,Balearic Islands,9
2019,Sant Andreu,Baro de Viver,Balearic Islands,0
2019,Sant Andreu,el Bon Pastor,Balearic Islands,3
2019,Sant Andreu,Sant Andreu,Balearic Islands,29
2019,Sant Andreu,la Sagrera,Balearic Islands,14
2019,Sant Andreu,el Congres i els Indians,Balearic Islands,8
2019,Sant Andreu,Navas,Balearic Islands,12
2019,Sant Marti,el Camp de l'Arpa del Clot,Balearic Islands,28
2019,Sant Marti,el Clot,Balearic Islands,17
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Balearic Islands,16
2019,Sant Marti,la Vila Olimpica del Poblenou,Balearic Islands,5
2019,Sant Marti,el Poblenou,Balearic Islands,38
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Balearic Islands,16
2019,Sant Marti,el Besos i el Maresme,Balearic Islands,5
2019,Sant Marti,Provencals del Poblenou,Balearic Islands,9
2019,Sant Marti,Sant Marti de Provencals,Balearic Islands,8
2019,Sant Marti,la Verneda i la Pau,Balearic Islands,13
2019,Ciutat Vella,el Raval,Canary Islands,39
2019,Ciutat Vella,el Barri Gotic,Canary Islands,19
2019,Ciutat Vella,la Barceloneta,Canary Islands,16
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Canary Islands,17
2019,Eixample,el Fort Pienc,Canary Islands,22
2019,Eixample,la Sagrada Familia,Canary Islands,35
2019,Eixample,la Dreta de l'Eixample,Canary Islands,25
2019,Eixample,l'Antiga Esquerra de l'Eixample,Canary Islands,39
2019,Eixample,la Nova Esquerra de l'Eixample,Canary Islands,40
2019,Eixample,Sant Antoni,Canary Islands,14
2019,Sants-Montjuic,el Poble Sec,Canary Islands,24
2019,Sants-Montjuic,la Marina del Prat Vermell,Canary Islands,0
2019,Sants-Montjuic,la Marina de Port,Canary Islands,24
2019,Sants-Montjuic,la Font de la Guatlla,Canary Islands,14
2019,Sants-Montjuic,Hostafrancs,Canary Islands,15
2019,Sants-Montjuic,la Bordeta,Canary Islands,7
2019,Sants-Montjuic,Sants - Badal,Canary Islands,10
2019,Sants-Montjuic,Sants,Canary Islands,36
2019,Les Corts,les Corts,Canary Islands,22
2019,Les Corts,la Maternitat i Sant Ramon,Canary Islands,17
2019,Les Corts,Pedralbes,Canary Islands,6
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Canary Islands,1
2019,Sarria-Sant Gervasi,Sarria,Canary Islands,12
2019,Sarria-Sant Gervasi,les Tres Torres,Canary Islands,12
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Canary Islands,6
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Canary Islands,18
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Canary Islands,19
2019,Gracia,Vallcarca i els Penitents,Canary Islands,10
2019,Gracia,el Coll,Canary Islands,6
2019,Gracia,la Salut,Canary Islands,10
2019,Gracia,la Vila de Gracia,Canary Islands,30
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Canary Islands,21
2019,Horta-Guinardo,el Baix Guinardo,Canary Islands,15
2019,Horta-Guinardo,Can Baro,Canary Islands,3
2019,Horta-Guinardo,el Guinardo,Canary Islands,25
2019,Horta-Guinardo,la Font d'en Fargues,Canary Islands,0
2019,Horta-Guinardo,el Carmel,Canary Islands,18
2019,Horta-Guinardo,la Teixonera,Canary Islands,7
2019,Horta-Guinardo,Sant Genis dels Agudells,Canary Islands,7
2019,Horta-Guinardo,Montbau,Canary Islands,2
2019,Horta-Guinardo,la Vall d'Hebron,Canary Islands,2
2019,Horta-Guinardo,la Clota,Canary Islands,3
2019,Horta-Guinardo,Horta,Canary Islands,8
2019,Nou Barris,Vilapicina i la Torre Llobeta,Canary Islands,13
2019,Nou Barris,Porta,Canary Islands,11
2019,Nou Barris,el Turo de la Peira,Canary Islands,6
2019,Nou Barris,Can Peguera,Canary Islands,0
2019,Nou Barris,la Guineueta,Canary Islands,2
2019,Nou Barris,Canyelles,Canary Islands,1
2019,Nou Barris,les Roquetes,Canary Islands,9
2019,Nou Barris,Verdun,Canary Islands,6
2019,Nou Barris,la Prosperitat,Canary Islands,11
2019,Nou Barris,la Trinitat Nova,Canary Islands,7
2019,Nou Barris,Torre Baro,Canary Islands,1
2019,Nou Barris,Ciutat Meridiana,Canary Islands,5
2019,Nou Barris,Vallbona,Canary Islands,0
2019,Sant Andreu,la Trinitat Vella,Canary Islands,2
2019,Sant Andreu,Baro de Viver,Canary Islands,1
2019,Sant Andreu,el Bon Pastor,Canary Islands,8
2019,Sant Andreu,Sant Andreu,Canary Islands,18
2019,Sant Andreu,la Sagrera,Canary Islands,13
2019,Sant Andreu,el Congres i els Indians,Canary Islands,3
2019,Sant Andreu,Navas,Canary Islands,9
2019,Sant Marti,el Camp de l'Arpa del Clot,Canary Islands,24
2019,Sant Marti,el Clot,Canary Islands,16
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Canary Islands,12
2019,Sant Marti,la Vila Olimpica del Poblenou,Canary Islands,2
2019,Sant Marti,el Poblenou,Canary Islands,24
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Canary Islands,2
2019,Sant Marti,el Besos i el Maresme,Canary Islands,10
2019,Sant Marti,Provencals del Poblenou,Canary Islands,12
2019,Sant Marti,Sant Marti de Provencals,Canary Islands,13
2019,Sant Marti,la Verneda i la Pau,Canary Islands,14
2019,Ciutat Vella,el Raval,Cantabria,2
2019,Ciutat Vella,el Barri Gotic,Cantabria,7
2019,Ciutat Vella,la Barceloneta,Cantabria,5
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Cantabria,3
2019,Eixample,el Fort Pienc,Cantabria,3
2019,Eixample,la Sagrada Familia,Cantabria,3
2019,Eixample,la Dreta de l'Eixample,Cantabria,4
2019,Eixample,l'Antiga Esquerra de l'Eixample,Cantabria,12
2019,Eixample,la Nova Esquerra de l'Eixample,Cantabria,7
2019,Eixample,Sant Antoni,Cantabria,7
2019,Sants-Montjuic,el Poble Sec,Cantabria,6
2019,Sants-Montjuic,la Marina del Prat Vermell,Cantabria,0
2019,Sants-Montjuic,la Marina de Port,Cantabria,9
2019,Sants-Montjuic,la Font de la Guatlla,Cantabria,4
2019,Sants-Montjuic,Hostafrancs,Cantabria,7
2019,Sants-Montjuic,la Bordeta,Cantabria,2
2019,Sants-Montjuic,Sants - Badal,Cantabria,0
2019,Sants-Montjuic,Sants,Cantabria,7
2019,Les Corts,les Corts,Cantabria,5
2019,Les Corts,la Maternitat i Sant Ramon,Cantabria,5
2019,Les Corts,Pedralbes,Cantabria,0
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Cantabria,2
2019,Sarria-Sant Gervasi,Sarria,Cantabria,3
2019,Sarria-Sant Gervasi,les Tres Torres,Cantabria,0
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Cantabria,3
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Cantabria,9
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Cantabria,2
2019,Gracia,Vallcarca i els Penitents,Cantabria,1
2019,Gracia,el Coll,Cantabria,0
2019,Gracia,la Salut,Cantabria,1
2019,Gracia,la Vila de Gracia,Cantabria,14
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Cantabria,5
2019,Horta-Guinardo,el Baix Guinardo,Cantabria,3
2019,Horta-Guinardo,Can Baro,Cantabria,0
2019,Horta-Guinardo,el Guinardo,Cantabria,2
2019,Horta-Guinardo,la Font d'en Fargues,Cantabria,0
2019,Horta-Guinardo,el Carmel,Cantabria,4
2019,Horta-Guinardo,la Teixonera,Cantabria,0
2019,Horta-Guinardo,Sant Genis dels Agudells,Cantabria,0
2019,Horta-Guinardo,Montbau,Cantabria,1
2019,Horta-Guinardo,la Vall d'Hebron,Cantabria,0
2019,Horta-Guinardo,la Clota,Cantabria,0
2019,Horta-Guinardo,Horta,Cantabria,0
2019,Nou Barris,Vilapicina i la Torre Llobeta,Cantabria,0
2019,Nou Barris,Porta,Cantabria,2
2019,Nou Barris,el Turo de la Peira,Cantabria,4
2019,Nou Barris,Can Peguera,Cantabria,0
2019,Nou Barris,la Guineueta,Cantabria,1
2019,Nou Barris,Canyelles,Cantabria,0
2019,Nou Barris,les Roquetes,Cantabria,4
2019,Nou Barris,Verdun,Cantabria,1
2019,Nou Barris,la Prosperitat,Cantabria,4
2019,Nou Barris,la Trinitat Nova,Cantabria,2
2019,Nou Barris,Torre Baro,Cantabria,0
2019,Nou Barris,Ciutat Meridiana,Cantabria,0
2019,Nou Barris,Vallbona,Cantabria,0
2019,Sant Andreu,la Trinitat Vella,Cantabria,0
2019,Sant Andreu,Baro de Viver,Cantabria,0
2019,Sant Andreu,el Bon Pastor,Cantabria,0
2019,Sant Andreu,Sant Andreu,Cantabria,3
2019,Sant Andreu,la Sagrera,Cantabria,2
2019,Sant Andreu,el Congres i els Indians,Cantabria,0
2019,Sant Andreu,Navas,Cantabria,2
2019,Sant Marti,el Camp de l'Arpa del Clot,Cantabria,5
2019,Sant Marti,el Clot,Cantabria,6
2019,Sant Marti,el Parc i la Llacuna del Poblenou,Cantabria,4
2019,Sant Marti,la Vila Olimpica del Poblenou,Cantabria,0
2019,Sant Marti,el Poblenou,Cantabria,3
2019,Sant Marti,Diagonal Mar i el Front Marítim del Poblenou,Cantabria,1
2019,Sant Marti,el Besos i el Maresme,Cantabria,5
2019,Sant Marti,Provencals del Poblenou,Cantabria,2
2019,Sant Marti,Sant Marti de Provencals,Cantabria,3
2019,Sant Marti,la Verneda i la Pau,Cantabria,4
2019,Ciutat Vella,el Raval,Castile and Leon,13
2019,Ciutat Vella,el Barri Gotic,Castile and Leon,29
2019,Ciutat Vella,la Barceloneta,Castile and Leon,7
2019,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Castile and Leon,15
2019,Eixample,el Fort Pienc,Castile and Leon,19
2019,Eixample,la Sagrada Familia,Castile and Leon,18
2019,Eixample,la Dreta de l'Eixample,Castile and Leon,30
2019,Eixample,l'Antiga Esquerra de l'Eixample,Castile and Leon,32
2019,Eixample,la Nova Esquerra de l'Eixample,Castile and Leon,31
2019,Eixample,Sant Antoni,Castile and Leon,19
2019,Sants-Montjuic,el Poble Sec,Castile and Leon,15
2019,Sants-Montjuic,la Marina del Prat Vermell,Castile and Leon,0
2019,Sants-Montjuic,la Marina de Port,Castile and Leon,20
2019,Sants-Montjuic,la Font de la Guatlla,Castile and Leon,17
2019,Sants-Montjuic,Hostafrancs,Castile and Leon,22
2019,Sants-Montjuic,la Bordeta,Castile and Leon,10
2019,Sants-Montjuic,Sants - Badal,Castile and Leon,10
2019,Sants-Montjuic,Sants,Castile and Leon,39
2019,Les Corts,les Corts,Castile and Leon,18
2019,Les Corts,la Maternitat i Sant Ramon,Castile and Leon,8
2019,Les Corts,Pedralbes,Castile and Leon,6
2019,Sarria-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Castile and Leon,1
2019,Sarria-Sant Gervasi,Sarria,Castile and Leon,8
2019,Sarria-Sant Gervasi,les Tres Torres,Castile and Leon,6
2019,Sarria-Sant Gervasi,Sant Gervasi - la Bonanova,Castile and Leon,3
2019,Sarria-Sant Gervasi,Sant Gervasi - Galvany,Castile and Leon,12
2019,Sarria-Sant Gervasi,el Putxet i el Farro,Castile and Leon,9
2019,Gracia,Vallcarca i els Penitents,Castile and Leon,7
2019,Gracia,el Coll,Castile and Leon,3
2019,Gracia,la Salut,Castile and Leon,9
2019,Gracia,la Vila de Gracia,Castile and Leon,31
2019,Gracia,el Camp d'en Grassot i Gracia Nova,Castile and Leon,12
2019,Horta-Guinardo,el Baix Guinardo,Castile and Leon,13
2019,Horta-Guinardo,Can Baro,Castile and Leon,1
2019,Horta-Guinardo,el Guinardo,Castile and Leon,20
2019,Horta-Guinardo,la Font d'en Fargues,Castile and Leon,1
