Date,Open,High,Low,Close,Adj Close,Volume
2017-11-11,0.074644,0.081936,0.074328,0.078261,0.078261,145377173
2017-11-12,0.077447,0.078832,0.065263,0.067637,0.067637,214308634
2017-11-13,0.068183,0.079276,0.066426,0.079244,0.079244,162349496
2017-11-14,0.078565,0.081071,0.074006,0.077453,0.077453,173986236
2017-11-15,0.077770,0.088193,0.077083,0.087366,0.087366,185350147
2017-11-16,0.087965,0.092942,0.084053,0.090772,0.090772,223488323
2017-11-17,0.090182,0.091046,0.082847,0.085371,0.085371,181214075
2017-11-18,0.085034,0.090012,0.081523,0.089252,0.089252,107153383
2017-11-19,0.088105,0.092407,0.087143,0.089469,0.089469,93076117
2017-11-20,0.089352,0.092965,0.087620,0.090714,0.090714,139391829
2017-11-21,0.091811,0.093843,0.084653,0.090110,0.090110,197701704
2017-11-22,0.090895,0.133159,0.089072,0.118258,0.118258,1222261079
2017-11-23,0.118015,0.145046,0.118015,0.122063,0.122063,1686596208
2017-11-24,0.125266,0.127672,0.115624,0.123399,0.123399,619924033
2017-11-25,0.124339,0.133976,0.121375,0.133976,0.133976,351218243
2017-11-26,0.134035,0.137908,0.121568,0.131048,0.131048,496046708
2017-11-27,0.129308,0.131643,0.122108,0.128171,0.128171,398813346
2017-11-28,0.128387,0.152148,0.125659,0.152148,0.152148,535649576
2017-11-29,0.150236,0.165977,0.128246,0.133876,0.133876,712817820
2017-11-30,0.131777,0.146122,0.121856,0.134064,0.134064,317208715
2017-12-01,0.132236,0.144249,0.127071,0.138570,0.138570,339200676
2017-12-02,0.136873,0.142706,0.130144,0.138607,0.138607,321142392
2017-12-03,0.134962,0.150975,0.133578,0.143410,0.143410,306528296
2017-12-04,0.142325,0.159299,0.140491,0.158573,0.158573,405991246
2017-12-05,0.159261,0.172338,0.156164,0.159555,0.159555,564505227
2017-12-06,0.160526,0.171790,0.157435,0.171790,0.171790,583774379
2017-12-07,0.166553,0.184514,0.162412,0.175612,0.175612,1017420408
2017-12-08,0.176246,0.183744,0.149911,0.179167,0.179167,760591272
2017-12-09,0.178680,0.183495,0.156365,0.168710,0.168710,423215249
2017-12-10,0.168089,0.176799,0.148702,0.164184,0.164184,361993892
2017-12-11,0.165262,0.186247,0.163361,0.180029,0.180029,451552959
2017-12-12,0.179813,0.217705,0.171760,0.212771,0.212771,1238321840
2017-12-13,0.212906,0.250339,0.207221,0.223050,0.223050,2007675505
2017-12-14,0.222315,0.239147,0.220070,0.238602,0.238602,1507007446
2017-12-15,0.236120,0.244036,0.223072,0.241027,0.241027,1220136266
2017-12-16,0.241361,0.400493,0.233068,0.380146,0.380146,8736136197
2017-12-17,0.379086,0.488696,0.357916,0.383383,0.383383,6369660004
2017-12-18,0.380471,0.437370,0.360210,0.412978,0.412978,2834994960
2017-12-19,0.410978,0.429059,0.350707,0.362905,0.362905,2490629085
2017-12-20,0.359927,0.453077,0.313316,0.427057,0.427057,4347940200
2017-12-21,0.431664,0.561311,0.422022,0.475247,0.475247,10187447540
2017-12-22,0.472801,0.488088,0.303574,0.387499,0.387499,4077046539
2017-12-23,0.392676,0.516925,0.391078,0.464662,0.464662,4489860087
2017-12-24,0.466117,0.572770,0.382409,0.549360,0.549360,9202526182
2017-12-25,0.553593,0.686750,0.549329,0.571659,0.571659,11394355578
2017-12-26,0.571955,0.615963,0.523498,0.602709,0.602709,7968305080
2017-12-27,0.598277,0.616147,0.545811,0.568788,0.568788,4079030805
2017-12-28,0.567759,0.567759,0.494409,0.543683,0.543683,3280480105
2017-12-29,0.545433,0.604911,0.520562,0.599421,0.599421,3987772867
2017-12-30,0.597749,0.602915,0.471597,0.501733,0.501733,3585669399
2017-12-31,0.498051,0.591988,0.489482,0.572657,0.572657,3973826012
2018-01-01,0.576442,0.578517,0.515825,0.567260,0.567260,3223031107
2018-01-02,0.564966,0.609017,0.544763,0.580256,0.580256,5673958891
2018-01-03,0.576641,0.608396,0.563571,0.591800,0.591800,4213218650
2018-01-04,0.593454,0.636251,0.556060,0.611378,0.611378,6909167470
2018-01-05,0.612406,0.777889,0.607882,0.770542,0.770542,13450215897
2018-01-06,0.774304,0.999841,0.774304,0.941267,0.941267,17967797103
2018-01-07,0.929222,1.188913,0.923180,1.082164,1.082164,18250692720
2018-01-08,1.083868,1.118333,0.873815,0.954906,0.954906,14922685580
2018-01-09,0.956588,0.988061,0.828619,0.854391,0.854391,7337709575
2018-01-10,0.862922,0.863329,0.731480,0.833556,0.833556,6377459660
2018-01-11,0.828313,0.836807,0.700886,0.730365,0.730365,3994136960
2018-01-12,0.731008,0.848468,0.710981,0.830368,0.830368,3623374680
2018-01-13,0.830425,0.868312,0.793626,0.828288,0.828288,3554642160
2018-01-14,0.830451,0.838706,0.721466,0.743134,0.743134,4191176400
2018-01-15,0.739706,0.749119,0.625463,0.626019,0.626019,3986236905
2018-01-16,0.626418,0.626418,0.363044,0.436686,0.436686,4359029792
2018-01-17,0.436009,0.494478,0.351408,0.488549,0.488549,3759095256
2018-01-18,0.488076,0.557495,0.459196,0.508896,0.508896,3614431298
2018-01-19,0.502716,0.538331,0.475362,0.502302,0.502302,1936024374
2018-01-20,0.507828,0.551950,0.507828,0.539126,0.539126,1466207062
2018-01-21,0.538492,0.538492,0.445631,0.455110,0.455110,1463590442
2018-01-22,0.459413,0.484991,0.403575,0.430140,0.430140,1275594168
2018-01-23,0.429462,0.449449,0.397139,0.425426,0.425426,1140022125
2018-01-24,0.423422,0.459648,0.412136,0.450842,0.450842,1110686135
2018-01-25,0.455407,0.493021,0.453420,0.486908,0.486908,1354630194
2018-01-26,0.489181,0.506921,0.431513,0.460038,0.460038,1244211111
2018-01-27,0.460234,0.479639,0.455667,0.468684,0.468684,742046253
2018-01-28,0.470981,0.488303,0.466402,0.474522,0.474522,894474399
2018-01-29,0.470511,0.478164,0.436432,0.443028,0.443028,831318429
2018-01-30,0.443137,0.444633,0.378414,0.383588,0.383588,1009703712
2018-01-31,0.382114,0.395237,0.366256,0.381889,0.381889,937513638
2018-02-01,0.382602,0.386989,0.306510,0.321715,0.321715,1199354339
2018-02-02,0.321294,0.321294,0.211998,0.286916,0.286916,1918066444
2018-02-03,0.288621,0.352360,0.266699,0.331123,0.331123,1155320572
2018-02-04,0.332277,0.340943,0.267764,0.282064,0.282064,831097792
2018-02-05,0.281922,0.286597,0.216240,0.226584,0.226584,800945222
2018-02-06,0.227290,0.283940,0.195193,0.279955,0.279955,1228730220
2018-02-07,0.276966,0.308374,0.252299,0.276164,0.276164,834873727
2018-02-08,0.273983,0.313055,0.273983,0.293556,0.293556,608355697
2018-02-09,0.293151,0.322406,0.277660,0.321710,0.321710,719971034
2018-02-10,0.320524,0.350051,0.305256,0.321022,0.321022,1075591082
2018-02-11,0.319665,0.333444,0.296320,0.318893,0.318893,727672532
2018-02-12,0.319410,0.354015,0.319410,0.351692,0.351692,714958761
2018-02-13,0.351856,0.364872,0.338758,0.362267,0.362267,909259722
2018-02-14,0.361813,0.435008,0.361813,0.431379,0.431379,2597603703
2018-02-15,0.430532,0.508097,0.430361,0.469420,0.469420,2764839750
2018-02-16,0.466107,0.478192,0.417628,0.451844,0.451844,1705822536
2018-02-17,0.453786,0.470383,0.440215,0.452855,0.452855,1177718344
2018-02-18,0.457006,0.458947,0.406646,0.412709,0.412709,982325960
2018-02-19,0.411769,0.445710,0.407370,0.430194,0.430194,836353408
2018-02-20,0.429067,0.537318,0.411070,0.460075,0.460075,6998028350
2018-02-21,0.459598,0.479367,0.411413,0.426445,0.426445,2385488880
2018-02-22,0.425585,0.446908,0.395589,0.406632,0.406632,1323146535
2018-02-23,0.406255,0.450004,0.392280,0.430118,0.430118,1254565350
2018-02-24,0.431304,0.446307,0.396648,0.409182,0.409182,1014968310
2018-02-25,0.408993,0.414785,0.387974,0.397411,0.397411,760794360
2018-02-26,0.399109,0.421020,0.386295,0.410508,0.410508,781562536
2018-02-27,0.412050,0.426621,0.406623,0.408356,0.408356,792025329
2018-02-28,0.406987,0.420008,0.391592,0.392391,0.392391,862439520
2018-03-01,0.393941,0.412163,0.387415,0.405341,0.405341,1012110048
2018-03-02,0.402681,0.406475,0.355201,0.357459,0.357459,1467101101
2018-03-03,0.358240,0.375349,0.337839,0.345665,0.345665,1404949450
2018-03-04,0.341341,0.358770,0.336737,0.358770,0.358770,791225535
2018-03-05,0.356164,0.360041,0.335301,0.339244,0.339244,886073054
2018-03-06,0.333049,0.333933,0.295806,0.299179,0.299179,958297976
2018-03-07,0.299696,0.305291,0.260188,0.261052,0.261052,1140771385
2018-03-08,0.260447,0.287548,0.252884,0.262022,0.262022,1009010940
2018-03-09,0.260807,0.269970,0.235448,0.269970,0.269970,887220928
2018-03-10,0.269402,0.285168,0.257228,0.258708,0.258708,643420765
2018-03-11,0.257828,0.281290,0.250252,0.274127,0.274127,602453773
2018-03-12,0.273938,0.278244,0.249198,0.261971,0.261971,493945470
2018-03-13,0.261203,0.274593,0.251583,0.256819,0.256819,389525416
2018-03-14,0.256449,0.260536,0.221881,0.228434,0.228434,488322250
2018-03-15,0.228273,0.235158,0.212132,0.229762,0.229762,605401765
2018-03-16,0.230154,0.237470,0.223586,0.228110,0.228110,416334008
2018-03-17,0.227744,0.230672,0.211145,0.214349,0.214349,404897528
2018-03-18,0.213156,0.213156,0.181277,0.207301,0.207301,586744058
2018-03-19,0.207859,0.228514,0.204279,0.224324,0.224324,539867721
2018-03-20,0.226020,0.243004,0.220852,0.238144,0.238144,433000654
2018-03-21,0.238187,0.249961,0.235011,0.238430,0.238430,437362387
2018-03-22,0.238908,0.242679,0.224130,0.229681,0.229681,339202248
2018-03-23,0.229970,0.231305,0.217101,0.231305,0.231305,401480879
2018-03-24,0.233745,0.242166,0.228105,0.233294,0.233294,289890076
2018-03-25,0.230657,0.232360,0.225017,0.227768,0.227768,225892573
