rank;name;country_of_origin;retail_revenue;parent_company_revenue;parent_company_net_income;dominant_operational_format;countries_of_operation;retail_revenue_cagr
1;Wal-Mart Stores, Inc.;US;482130.0;482130.0;15080.0;Hypermarket/Supercenter/Superstore;30;0.027
2;Costco Wholesale Corporation;US;116199.0;116199.0;2409.0;Cash & Carry/Warehouse Club;10;0.083
3;The Kroger Co.;US;109830.0;109830.0;2049.0;Supermarket;1;0.06
4;Schwarz Unternehmenstreuhand KG;Germany;94448.0;94448.0;;Discount Store;26;0.074
5;Walgreens Boots Alliance, Inc.;US;89631.0;103444.0;4279.0;Drug Store/Pharmacy;10;0.059
6;The Home Depot, Inc.;US;88519.0;88519.0;7009.0;Home Improvement;4;0.054
7;Carrefour S.A.;France;84856.0;87593.0;1247.0;Hypermarket/Supercenter/Superstore;35;-0.031
8;Aldi Einkauf GmbH & Co. oHG;Germany;82164.0;82164.0;;Discount Store;17;0.08
9;Tesco PLC;UK;81019.0;82466.0;535.0;Hypermarket/Supercenter/Superstore;10;-0.023
10;Amazon.com, Inc.;US;79268.0;107006.0;596.0;Non-Store;14;0.208
11;Target Corporation;US;73785.0;73785.0;3363.0;Discount Department Store;1;0.023
12;CVS Health Corporation;US;72007.0;153290.0;5239.0;Drug Store/Pharmacy;3;0.047
13;Metro Ag;Germany;68066.0;68066.0;821.0;Cash & Carry/Warehouse Club;31;-0.025
14;Aeon Co., Ltd.;Japan;63635.0;67785.0;504.0;Hypermarket/Supercenter/Superstore;12;0.107
15;Lowe's Companies, Inc.;US;59074.0;59074.0;2546.0;Home Improvement;4;0.039
16;Auchan Holding SA;France;59050.0;60240.0;798.0;Hypermarket/Supercenter/Superstore;14;0.05
17;Albertsons Companies, Inc.;US;58734.0;58734.0;502.0;Supermarket;1;0.741
18;Edeka Group;Germany;52477.0;53810.0;;Supermarket;1;0.03
19;Casino Guichard-Perrachon S.A.;France;51257.0;51257.0;176.0;Hypermarket/Supercenter/Superstore;31;0.101
20;Seven & i Holdings Co., Ltd.;Japan;47795.0;50119.0;1398.0;Convenience/Forecourt Store;19;0.032
21;Wesfarmers Limited;Australia;44679.0;48083.0;297.0;Supermarket;3;0.05
22;Rewe Combine;Germany;43607.0;48540.0;426.0;Supermarket;11;0.022
23;Koninklijke Ahold N.V. (now Ahold Delhaize);Netherlands;42435.0;42435.0;945.0;Supermarket;6;0.053
24;Woolworths Limited;Australia;41366.0;42468.0;1711.0;Supermarket;3;0.017
25;Best Buy Co., Inc.;US;39528.0;39528.0;897.0;Electronics Specialty;4;-0.047
26;Centres Distributeurs E. Leclerc;France;39277.0;49208.0;;Hypermarket/Supercenter/Superstore;7;0.033
27;The IKEA Group (INGKA Holding B.V.);Netherlands;37105.0;37986.0;4101.0;Other Specialty;28;0.067
28;J Sainsbury plc;UK;35100.0;35612.0;714.0;Hypermarket/Supercenter/Superstore;1;0.019
29;Loblaw Companies Limited;Canada;34863.0;35588.0;488.0;Hypermarket/Supercenter/Superstore;6;0.08
