,precision,recall,f1-score,support
0,0.7108433734939759,0.7763157894736842,0.7421383647798742,76.0
1,0.746268656716418,0.6756756756756757,0.7092198581560283,74.0
accuracy,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667
macro avg,0.7285560151051969,0.72599573257468,0.7256791114679513,150.0
weighted avg,0.7283198465503806,0.7266666666666667,0.7258985681787767,150.0
