,precision,recall,f1-score,support
0,0.5982142857142857,0.881578947368421,0.7127659574468085,76.0
1,0.7631578947368421,0.3918918918918919,0.5178571428571428,74.0
accuracy,0.64,0.64,0.64,0.64
macro avg,0.6806860902255639,0.6367354196301565,0.6153115501519757,150.0
weighted avg,0.6795864661654136,0.64,0.6166109422492401,150.0
