,precision,recall,f1-score,support
0,0.6966292134831461,0.8157894736842105,0.7515151515151515,76.0
1,0.7704918032786885,0.6351351351351351,0.6962962962962963,74.0
accuracy,0.7266666666666667,0.7266666666666667,0.7266666666666667,0.7266666666666667
macro avg,0.7335605083809174,0.7254623044096729,0.7239057239057238,150.0
weighted avg,0.7330680911156138,0.7266666666666667,0.724273849607183,150.0
