,precision,recall,f1-score,support
0,0.7252747252747253,0.868421052631579,0.7904191616766467,76.0
1,0.8305084745762712,0.6621621621621622,0.7368421052631579,74.0
accuracy,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.7666666666666667
macro avg,0.7778915999254983,0.7652916073968705,0.7636306334699023,150.0
weighted avg,0.7771900415968213,0.7666666666666667,0.7639878138459922,150.0
