,precision,recall,f1-score,support
0,0.7228915662650602,0.7894736842105263,0.7547169811320756,76.0
1,0.7611940298507462,0.6891891891891891,0.7234042553191488,74.0
accuracy,0.74,0.74,0.74,0.74
macro avg,0.7420427980579032,0.7393314366998578,0.7390606182256122,150.0
weighted avg,0.7417874483006653,0.74,0.7392693697310317,150.0
