,precision,recall,f1-score,support
0,0.691358024691358,0.7368421052631579,0.7133757961783439,76.0
1,0.7101449275362319,0.6621621621621622,0.6853146853146853,74.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.700751476113795,0.69950213371266,0.6993452407465146,150.0
weighted avg,0.7006262300948292,0.7,0.699532314818939,150.0
