,precision,recall,f1-score,support
0,0.6263736263736264,0.75,0.6826347305389222,76.0
1,0.6779661016949152,0.5405405405405406,0.6015037593984962,74.0
accuracy,0.6466666666666666,0.6466666666666666,0.6466666666666666,0.6466666666666666
macro avg,0.6521698640342708,0.6452702702702703,0.6420692449687092,150.0
weighted avg,0.6518259141987955,0.6466666666666666,0.6426101181096453,150.0
