,precision,recall,f1-score,support
0,0.5981308411214953,0.8421052631578947,0.6994535519125683,76.0
1,0.7209302325581395,0.4189189189189189,0.5299145299145299,74.0
accuracy,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.6333333333333333
macro avg,0.6595305368398174,0.6305120910384068,0.6146840409135491,150.0
weighted avg,0.6587118742302398,0.6333333333333333,0.6158143010602027,150.0
