,precision,recall,f1-score,support
0,0.726027397260274,0.6973684210526315,0.7114093959731543,76.0
1,0.7012987012987013,0.7297297297297297,0.7152317880794701,74.0
accuracy,0.7133333333333334,0.7133333333333334,0.7133333333333334,0.7133333333333334
macro avg,0.7136630492794876,0.7135490753911806,0.7133205920263122,150.0
weighted avg,0.7138279072525648,0.7133333333333334,0.71329510941227,150.0
