Country,ISO Code,Region,Position 2022,Position 2021,Global Score,Politic Score,Economic Score,Legislative Score,Social Score,Security Score,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Papua New Guinea,PNG,Asia Pacific,62,47,66.66,62.42,45.24,66.08,81.33,78.23,0,0,0,0,Problematic
Paraguay,PRY,South America,96,100,58.36,54.24,31.12,75.44,65.0,65.99,0,0,0,0,Problematic
Peru,PER,South America,77,91,61.75,66.97,41.84,70.61,63.0,66.35,0,0,0,0,Problematic
Philippines,PHL,Asia Pacific,147,138,41.84,44.44,23.13,54.97,61.83,24.83,0,0,0,0,Difficult
Poland,POL,Europe,66,64,65.64,50.95,57.41,68.95,82.53,68.33,0,0,0,0,Problematic
Portugal,PRT,Europe,7,9,87.07,91.86,77.41,84.21,93.14,88.73,0,0,0,0,Good
Qatar,QAT,Middle  East,119,128,49.03,59.7,46.94,43.86,42.5,52.17,0,0,0,0,Difficult
Romania,ROU,Europe,56,48,68.46,66.77,46.77,76.46,81.67,70.63,0,0,0,0,Problematic
Russia,RUS,Europe,155,150,38.82,36.36,34.84,44.61,51.29,27.0,0,0,6,0,Very Serious
Rwanda,RWA,Africa,136,156,45.18,42.12,31.89,57.89,55.25,38.76,0,0,0,0,Difficult
Samoa,WSM,Asia Pacific,45,21,71.39,61.82,56.12,64.91,85.0,89.12,0,0,0,0,Satisfactory
Saudi Arabia,SAU,Middle  East,166,170,33.71,37.27,33.67,22.37,36.5,38.75,0,0,0,0,Very Serious
Senegal,SEN,Africa,73,49,63.07,59.31,42.13,66.67,72.43,74.84,0,0,0,0,Problematic
Serbia,SRB,Europe,79,93,61.51,47.47,34.92,79.92,74.22,71.03,0,0,0,0,Problematic
Seychelles,SYC,Africa,13,52,83.33,80.45,69.13,85.31,90.25,91.5,0,0,0,0,Satisfactory
Sierra Leone,SLE,Africa,46,75,71.03,73.71,50.38,78.4,77.5,75.14,0,0,0,0,Satisfactory
Singapore,SGP,Asia Pacific,139,160,44.23,39.09,29.21,34.21,49.25,69.39,0,0,0,0,Difficult
Slovakia,SVK,Europe,27,35,78.37,71.44,67.98,82.02,86.38,84.01,0,0,0,0,Satisfactory
Slovenia,SVN,Europe,54,36,68.54,59.32,47.7,79.11,79.94,76.61,0,0,0,0,Problematic
Somalia,SOM,Arab States,140,161,44.01,51.03,41.22,47.72,61.8,18.27,0,0,4,0,Difficult
South Africa,ZAF,Africa,35,32,75.56,75.96,62.59,84.36,82.5,72.39,0,0,0,0,Satisfactory
South Korea,KOR,Asia Pacific,43,42,72.11,71.15,55.31,72.81,79.8,81.5,0,0,0,0,Satisfactory
South Sudan,SSD,Africa,128,139,47.06,40.48,36.73,52.11,50.6,55.37,0,0,0,0,Difficult
Spain,ESP,Europe,32,29,76.71,72.73,63.38,82.16,81.89,83.4,0,0,0,0,Satisfactory
