Country,ISO Code,Region,Position 2020,Position 2019,Global Score,With Abuses,Without Abuses,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Afghanistan,AFG,Asia Pacific,122,121,62.3,38.91,68.17,4,2,0,0,Difficult
Albania,ALB,Europe,84,82,69.75,86.14,69.99,0,0,0,0,Problematic
Algeria,DZA,Arab States,146,141,54.48,70.04,54.48,0,0,7,0,Difficult
Andorra,AND,Europe,37,37,76.77,100.0,76.77,0,0,0,0,Satisfactory
Angola,AGO,Africa,106,109,66.08,100.0,66.08,0,0,0,0,Problematic
Argentina,ARG,South America,64,57,71.22,100.0,71.22,0,0,0,0,Problematic
Armenia,ARM,Europe,61,61,71.4,100.0,71.4,0,0,0,0,Problematic
Australia,AUS,Asia Pacific,26,21,79.79,83.91,79.79,0,0,0,0,Satisfactory
Austria,AUT,Europe,18,16,84.22,100.0,84.22,0,0,0,0,Satisfactory
Azerbaijan,AZE,Asia Pacific,168,166,41.52,42.01,42.87,0,0,1,0,Very Serious
Bahrain,BHR,Arab States,169,167,39.87,82.08,39.87,0,0,0,0,Very Serious
Bangladesh,BGD,Asia Pacific,151,150,50.63,69.09,50.63,1,0,12,0,Difficult
Belarus,BLR,Europe,153,153,50.25,100.0,50.25,0,0,100,0,Difficult
Belgium,BEL,Europe,12,9,87.43,100.0,87.43,0,0,0,0,Good
Belize,BLZ,South America,53,53,72.5,100.0,72.5,0,0,0,0,Problematic
Benin,BEN,Africa,113,96,64.89,100.0,64.89,0,0,0,0,Difficult
Bhutan,BTN,Asia Pacific,67,80,71.1,100.0,71.1,0,0,0,0,Problematic
Bolivia,BOL,South America,114,113,64.63,83.91,64.63,0,0,0,0,Difficult
Bosnia-Herzegovina,BIH,Europe,58,63,71.49,75.15,71.49,0,0,0,0,Problematic
Botswana,BWA,Africa,39,44,76.44,100.0,76.44,0,0,0,0,Satisfactory
Brazil,BRA,South America,107,105,65.95,100.0,66.08,0,0,1,0,Problematic
Brunei,BRN,Asia Pacific,152,152,50.35,100.0,50.35,0,0,0,0,Difficult
Bulgaria,BGR,Europe,111,111,64.94,100.0,64.94,0,0,0,0,Very Serious
Burkina Faso,BFA,Africa,38,36,76.53,100.0,76.53,0,0,0,0,Satisfactory
Burundi,BDI,Africa,160,159,44.67,79.21,44.67,0,0,0,0,Very Serious
Cabo Verde,CPV,Africa,25,25,79.85,100.0,79.85,0,0,0,0,Satisfactory
Cambodia,KHM,Asia Pacific,144,143,54.54,86.14,54.54,0,0,8,0,Difficult
Cameroon,CMR,Africa,134,131,56.72,63.36,56.83,0,0,2,0,Difficult
Canada,CAN,North America,16,18,84.71,100.0,84.71,0,0,0,0,Satisfactory
Central African Republic,CAF,Africa,132,145,57.13,89.01,57.13,0,0,0,0,Difficult
Chad,TCD,Africa,123,122,60.3,54.67,62.24,0,0,2,0,Difficult
Chile,CHL,South America,51,46,72.69,100.0,72.69,0,0,0,0,Problematic
China,CHN,Asia Pacific,177,177,21.52,19.57,23.32,0,0,16,0,Very Serious
Colombia,COL,South America,130,129,57.34,54.05,58.16,2,0,0,0,Difficult
Comoros,COM,Arab States,75,56,70.23,89.01,70.23,0,0,0,0,Problematic
Congo-Brazzaville,COG,Africa,118,117,63.44,93.07,63.44,0,0,0,0,Difficult
Costa Rica,CRI,South America,7,10,89.47,100.0,89.47,0,0,0,0,Good
Croatia,HRV,Europe,59,64,71.49,100.0,71.49,0,0,0,0,Problematic
Cuba,CUB,South America,171,169,36.19,71.67,36.19,0,0,0,0,Very Serious
Cyprus,CYP,Europe,27,28,79.55,100.0,79.55,0,0,0,0,Satisfactory
Czech Republic,CZE,Europe,40,40,76.43,100.0,76.43,0,0,0,0,Satisfactory
Democratic Republic of Congo,COD,Africa,150,154,50.91,52.82,51.43,0,0,4,0,Difficult
Denmark,DNK,Europe,3,5,91.87,100.0,91.87,0,0,0,0,Good
Djibouti,DJI,Arab States,176,173,23.27,93.07,23.27,0,0,0,0,Very Serious
Dominican Republic,DOM,South America,55,55,72.1,100.0,72.1,0,0,0,0,Problematic
Ecuador,ECU,South America,98,97,67.38,100.0,67.38,0,0,0,0,Problematic
Egypt,EGY,Middle  East,166,163,43.18,31.28,46.19,0,0,0,0,Very Serious
El Salvador,SLV,South America,74,81,70.3,100.0,70.3,0,0,0,0,Problematic
Equatorial Guinea,GNQ,Africa,165,165,43.62,93.07,43.62,0,0,0,0,Very Serious
Eritrea,ERI,Africa,178,178,16.5,27.97,16.5,0,0,0,0,Very Serious
Estonia,EST,Europe,14,11,87.39,100.0,87.39,0,0,0,0,Good
Eswatini,SWZ,Africa,141,147,54.85,100.0,54.85,0,0,0,0,Difficult
Ethiopia,ETH,Africa,99,110,67.18,86.14,67.18,0,0,3,0,Problematic
Fiji,FJI,Asia Pacific,52,52,72.59,100.0,72.59,0,0,0,0,Problematic
Finland,FIN,Europe,2,2,92.07,100.0,92.07,0,0,0,0,Good
France,FRA,Europe,34,32,77.08,55.34,82.51,0,0,0,0,Satisfactory
Gabon,GAB,Africa,121,115,62.8,89.01,62.8,0,0,0,0,Difficult
Gambia,GMB,Africa,87,92,69.38,93.07,69.38,0,0,0,0,Problematic
Georgia,GEO,Europe,60,60,71.41,65.66,73.2,0,0,0,0,Problematic
Germany,DEU,Europe,11,13,87.84,100.0,89.66,0,0,0,0,Good
Ghana,GHA,Africa,30,27,77.74,53.0,83.92,0,0,0,0,Satisfactory
Greece,GRC,Europe,65,65,71.2,100.0,71.2,0,0,0,0,Problematic
Guatemala,GTM,South America,116,116,64.26,100.0,64.26,0,0,1,0,Difficult
Guinea,GIN,Africa,110,107,65.66,82.08,65.66,0,0,0,0,Problematic
Guinea Bissau,GNB,Africa,94,89,67.94,100.0,67.94,0,0,0,0,Problematic
Guyana,GUY,South America,49,51,73.37,100.0,73.37,0,0,0,0,Problematic
Haiti,HTI,South America,83,62,69.8,54.67,73.58,0,0,0,0,Problematic
Honduras,HND,South America,148,146,51.8,46.82,53.08,4,0,0,0,Difficult
Hong Kong,HKG,Asia Pacific,80,73,69.99,69.55,70.4,0,0,0,0,Problematic
Hungary,HUN,Europe,89,87,69.16,100.0,69.16,0,0,0,0,Problematic
Iceland,ISL,Europe,15,14,84.88,100.0,84.88,0,0,0,0,Very Serious
India,IND,Asia Pacific,142,140,54.67,70.04,54.82,4,0,12,0,Difficult
Indonesia,IDN,Asia Pacific,119,124,63.18,82.08,63.18,0,0,2,0,Difficult
Iran,IRN,Middle  East,173,170,35.19,34.19,35.59,1,0,14,1,Very Serious
Iraq,IRQ,Middle  East,162,156,44.63,42.01,46.3,4,2,8,0,Very Serious
Ireland,IRL,Europe,13,15,87.4,100.0,87.4,0,0,0,0,Good
Israel,ISR,Middle  East,88,88,69.16,56.96,72.27,0,0,10,0,Problematic
Italy,ITA,Europe,41,43,76.31,93.07,76.31,0,0,0,0,Satisfactory
Ivory Coast,CIV,Africa,68,71,71.06,93.07,71.06,0,0,0,0,Problematic
Jamaica,JAM,South America,6,8,89.49,100.0,89.49,0,0,0,0,Good
