Country,ISO Code,Region,Position 2021,Position 2020,Global Score,With Abuses,Without Abuses,Journalist Killed,Media Workers Killed,Journalist Imprisoned,Media Workers Imprisoned,Situation
Israel,ISR,Middle  East,86,88,69.1,55.93,72.22,0,0,4,0,Problematic
Italy,ITA,Europe,41,41,76.61,72.27,77.37,0,0,0,0,Satisfactory
Ivory Coast,CIV,Africa,66,68,71.13,82.08,71.13,0,0,0,0,Problematic
Jamaica,JAM,South America,7,6,90.04,100.0,90.04,0,0,0,0,Good
Japan,JPN,Asia Pacific,67,66,71.12,100.0,71.12,0,0,0,0,Problematic
Jordan,JOR,Middle  East,129,128,57.11,72.92,57.11,0,0,0,0,Difficult
Kazakhstan,KAZ,Asia Pacific,155,157,49.72,86.14,49.72,0,0,0,0,Difficult
Kenya,KEN,Africa,102,103,66.35,79.21,66.35,0,0,0,0,Problematic
Kosovo,XKX,Europe,78,70,69.68,80.54,69.68,0,0,0,0,Problematic
Kuwait,KWT,Middle  East,105,109,65.64,100.0,65.64,0,0,0,0,Problematic
Kyrgyzstan,KGZ,Asia Pacific,79,82,69.63,80.54,69.64,0,0,0,0,Problematic
Laos,LAO,Asia Pacific,172,172,29.44,42.47,29.44,0,0,0,0,Very Serious
Latvia,LVA,Europe,22,22,80.74,100.0,80.74,0,0,0,0,Satisfactory
Lebanon,LBN,Middle  East,107,102,65.07,52.9,67.8,1,0,0,0,Problematic
Lesotho,LSO,Africa,88,86,68.39,89.01,68.46,0,0,0,0,Problematic
Liberia,LBR,Africa,98,95,66.64,72.27,66.64,0,0,0,0,Problematic
Libya,LBY,Middle  East,165,164,44.27,53.95,44.27,0,0,0,0,Very Serious
Liechtenstein,LIE,Europe,23,24,80.51,100.0,80.51,0,0,0,0,Satisfactory
Lithuania,LTU,Europe,28,28,79.85,100.0,79.85,0,0,0,0,Satisfactory
Luxembourg,LUX,Europe,20,17,82.44,100.0,82.44,0,0,0,0,Satisfactory
Madagascar,MDG,Africa,57,54,71.76,100.0,71.76,0,0,0,0,Problematic
Malawi,MWI,Africa,62,69,71.2,82.08,71.2,0,0,0,0,Problematic
Malaysia,MYS,Asia Pacific,119,101,60.53,100.0,60.53,0,0,0,0,Difficult
Maldives,MDV,Asia Pacific,72,79,70.87,100.0,70.87,0,0,0,0,Problematic
Mali,MLI,Africa,99,108,66.5,93.07,66.5,0,0,0,0,Problematic
Malta,MLT,Europe,81,81,69.54,100.0,69.54,0,0,0,0,Problematic
Mauritania,MRT,Arab States,94,97,67.75,100.0,67.75,0,0,0,0,Problematic
Mauritius,MUS,Africa,61,56,71.26,100.0,71.26,0,0,0,0,Problematic
Mexico,MEX,South America,143,143,53.29,32.75,58.16,7,0,0,0,Difficult
Moldova,MDA,Europe,89,91,68.39,93.07,68.39,0,0,0,0,Problematic
Mongolia,MNG,Asia Pacific,68,73,71.03,100.0,71.03,0,0,0,0,Problematic
Montenegro,MNE,Europe,104,105,65.67,78.03,65.67,0,0,0,0,Problematic
Morocco,MAR,Arab States,136,133,56.06,44.79,58.14,0,0,5,0,Difficult
Mozambique,MOZ,Africa,108,104,64.61,86.14,64.61,0,0,0,0,Difficult
Myanmar,MMR,Asia Pacific,140,139,53.86,69.09,53.86,2,0,107,3,Difficult
Namibia,NAM,Africa,24,23,80.28,89.01,80.28,0,0,0,0,Satisfactory
Nepal,NPL,Asia Pacific,106,112,65.38,79.21,65.38,0,0,0,0,Problematic
Netherlands,NLD,Europe,6,5,90.33,86.14,91.26,1,0,0,0,Good
New Zealand,NZL,Asia Pacific,8,9,89.96,100.0,89.96,0,0,0,0,Good
Nicaragua,NIC,South al America,121,117,60.02,72.92,60.02,0,0,1,1,Difficult
Niger,NER,Africa,59,57,71.56,86.14,71.56,0,0,0,0,Problematic
Nigeria,NGA,Africa,120,115,60.31,44.99,62.62,0,0,1,0,Difficult
