Country,latest year available_perc,Total GHG emissions _perc,GHG from Energy_perc,"GHG from Energy 
of which: from Transport_perc",GHG from Industrial Processes_perc,GHG from Agriculture_perc,GHG from Waste_perc,Total GHG emissions _tonnes,GHG from Energy_tonnes,"GHG from Energy 
of which: from Transport_tonnes",GHG from Industrial Processes_tonnes,GHG from Agriculture_tonnes,GHG from Waste_tonnes
,,mio. tonnes of CO2 equivalent,%,%,%,%,%,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent,mio. tonnes of CO2 equivalent
United Arab Emirates,2005,195.31,89.48,14.96,4.83,2.04,3.65,195.31,174.76,29.22,9.44,3.99,7.12
United Kingdom of Great Britain and Northern Ireland,2012,586.36,82.81,19.74,4.26,8.89,4.04,586.36,485.54,115.72,24.97,52.13,23.72
United Republic of Tanzania,1994,39.24,17.56,4.26,0.94,75.77,5.73,39.24,6.89,1.67,0.37,29.73,2.25
United States of America,2012, 6 487.85,84.76,26.77,5.15,8.11,1.91, 6 487.85, 5 498.88, 1 736.64,334.35,526.25,123.97
Uruguay,2004,36.28,14.29,6.19,0.94,80.83,3.94,36.28,5.18,2.24,0.34,29.32,1.43
Uzbekistan,2005,199.84,86.24,4.82,3.19,8.23,2.35,199.84,172.34,9.63,6.37,16.44,4.69
Vanuatu,1994,0.3,21.45,15.13,...,78.55,...,0.3,0.06,0.05,...,0.24,...
Venezuela (Bolivarian Republic of),1999,192.19,74.7,17.69,4.79,17.15,3.36,192.19,143.56,33.99,9.21,32.96,6.47
Viet Nam,2010,266.05,53.06,11.96,7.96,33.21,5.77,266.05,141.17,31.82,21.17,88.35,15.35
Yemen,2000,25.74,69.07,19.25,2.85,23.34,4.74,25.74,17.78,4.96,0.73,6.01,1.22
Zambia,2000,14.4,18.25,4.06,6.98,71.92,2.86,14.4,2.63,0.58,1.01,10.36,0.41
Zimbabwe,2000,68.54,38.66,1.56,1.52,57.73,2.09,68.54,26.5,1.07,1.04,39.57,1.43
