r2022,r2021,Institution,score,course,teaching,feedback,ratio,spend,tariff,value,career,continuation
107,105,Goldsmiths,58.6,64.2,75.3,60.9,14.3,n/a,127,5.8,69,88
107,94,Winchester,58.6,75.1,80.5,69.9,17.4,2.8,107,4.4,71,92
109,106,Leeds Beckett,57.8,79.7,81.4,72.8,20,4,104,6.1,73,87
110,117,Westminster,57,75.5,77.1,67.3,20.9,3.9,118,4.9,69,91
110,98,Cumbria,57,75.2,80.2,71.9,16.6,4.2,118,4.1,78,91
112,111,Middlesex,56.1,72.8,75.3,68.7,17.5,5.7,105,5.1,68,89
113,93,London South Bank,55.9,73.7,77.3,69.4,16.8,5.6,101,4.4,75,88
114,112,East London,55.2,75.1,79.7,72.1,21.9,2.8,96,6.1,66,89
114,108,Newman,55.2,81.2,83.7,77.1,17.7,4.9,103,3.2,68,88
116,110,Brunel,54.7,67.9,72.4,59,17,3.4,118,4.3,79,93
117,115,Leeds Trinity,53.2,72.7,78,69.8,22.9,4.3,103,7.7,71,87
118,119,De Montfort,52.5,71.6,74.3,65.1,20.2,3.1,105,5.5,76,89
119,114,Canterbury Christ Church,52.2,71.1,80.4,70.8,16.4,3.3,96,3.6,75,87
120,120,West of Scotland,51.1,79.2,81.8,70.1,20.9,3.3,136,6.4,74,86
121,121,Bedfordshire,34,70.7,79.3,68.4,26.3,4.2,104,2.8,74,80
